Var1,Var2,PIP,trial,df,case
1,4,0,20,4,1
2,4,0,20,4,1
3,4,0,20,4,1
1,5,0,20,4,1
2,5,0,20,4,1
3,5,0,20,4,1
4,5,0,20,4,1
1,6,0,20,4,1
2,6,0,20,4,1
3,6,0,20,4,1
4,6,0,20,4,1
5,6,0,20,4,1
1,7,0,20,4,1
2,7,0,20,4,1
3,7,0,20,4,1
4,7,0,20,4,1
5,7,0,20,4,1
6,7,0,20,4,1
1,8,0,20,4,1
2,8,0,20,4,1
3,8,0,20,4,1
4,8,0,20,4,1
5,8,0,20,4,1
6,8,0,20,4,1
7,8,0,20,4,1
1,9,0,20,4,1
2,9,0,20,4,1
3,9,0,20,4,1
4,9,0,20,4,1
5,9,0.5,20,4,1
6,9,0,20,4,1
7,9,0,20,4,1
8,9,0,20,4,1
1,10,0,20,4,1
2,10,0,20,4,1
3,10,0,20,4,1
4,10,0,20,4,1
5,10,0.00128,20,4,1
6,10,0,20,4,1
7,10,0,20,4,1
8,10,0,20,4,1
9,10,0,20,4,1
1,2,0,21,3,1
1,3,0,21,3,1
2,3,0,21,3,1
1,4,0,21,3,1
2,4,0,21,3,1
3,4,0,21,3,1
1,5,0,21,3,1
2,5,0,21,3,1
3,5,0,21,3,1
4,5,1.5999999999999999e-4,21,3,1
1,6,0,21,3,1
2,6,0,21,3,1
3,6,0,21,3,1
4,6,0,21,3,1
5,6,0,21,3,1
1,7,0,21,3,1
2,7,0,21,3,1
3,7,0,21,3,1
4,7,0,21,3,1
5,7,0,21,3,1
6,7,0,21,3,1
1,8,0,21,3,1
2,8,0,21,3,1
3,8,0,21,3,1
4,8,0,21,3,1
5,8,0,21,3,1
6,8,0,21,3,1
7,8,0,21,3,1
1,9,0,21,3,1
2,9,1.5999999999999999e-4,21,3,1
3,9,4.8e-4,21,3,1
4,9,0.32608,21,3,1
5,9,0.5,21,3,1
6,9,0,21,3,1
7,9,0,21,3,1
8,9,0,21,3,1
1,10,0,21,3,1
2,10,0,21,3,1
3,10,0,21,3,1
4,10,0.0016,21,3,1
5,10,0.0024,21,3,1
6,10,0,21,3,1
7,10,1.5999999999999999e-4,21,3,1
8,10,0,21,3,1
9,10,1.6e-4,21,3,1
1,2,0,22,4,1
1,3,0,22,4,1
2,3,0,22,4,1
1,4,0,22,4,1
2,4,1.5999999999999999e-4,22,4,1
3,4,0,22,4,1
1,5,0,22,4,1
2,5,0,22,4,1
3,5,0,22,4,1
4,5,0,22,4,1
1,6,0,22,4,1
2,6,0,22,4,1
3,6,0,22,4,1
4,6,0,22,4,1
5,6,0,22,4,1
1,7,0,22,4,1
2,7,0,22,4,1
3,7,0,22,4,1
4,7,0,22,4,1
5,7,0,22,4,1
6,7,0,22,4,1
1,8,0,22,4,1
2,8,0,22,4,1
3,8,0,22,4,1
4,8,0,22,4,1
5,8,0,22,4,1
6,8,0,22,4,1
7,8,0,22,4,1
1,9,0,22,4,1
2,9,0,22,4,1
3,9,0,22,4,1
4,9,0,22,4,1
5,9,0.33008,22,4,1
6,9,0,22,4,1
7,9,0,22,4,1
8,9,0,22,4,1
1,10,0,22,4,1
2,10,1.5999999999999999e-4,22,4,1
3,10,0,22,4,1
4,10,0,22,4,1
5,10,0,22,4,1
6,10,0,22,4,1
7,10,0,22,4,1
8,10,0,22,4,1
9,10,3.1999999999999997e-4,22,4,1
1,2,0,23,2,1
1,3,0,23,2,1
2,3,6.399999999999999e-4,23,2,1
1,4,1.5999999999999999e-4,23,2,1
2,4,1.5999999999999999e-4,23,2,1
3,4,0,23,2,1
1,5,0,23,2,1
2,5,1.6e-4,23,2,1
3,5,0.00304,23,2,1
4,5,9.6e-4,23,2,1
1,6,0,23,2,1
2,6,1.5999999999999999e-4,23,2,1
3,6,1.5999999999999999e-4,23,2,1
4,6,0,23,2,1
5,6,0,23,2,1
1,7,0,23,2,1
2,7,0,23,2,1
3,7,0.0512,23,2,1
4,7,0,23,2,1
5,7,3.1999999999999997e-4,23,2,1
6,7,1.5999999999999999e-4,23,2,1
1,8,9.6e-4,23,2,1
2,8,0.0014399999999999999,23,2,1
3,8,0.00304,23,2,1
4,8,0.0216,23,2,1
