variable,PIP,trial,df,case
Co,0.01792,88,3,1
Hg,1,88,3,1
Ni,1,88,3,1
Tl,0.0296,88,3,1
Pb,0.02768,88,3,1
Mo,0.07472,88,3,1
Sb,0.99984,88,3,1
Sn,0.99984,88,3,1
As,8e-4,89,4,1
Cd,0.00272,89,4,1
Co,1.6e-4,89,4,1
Hg,1,89,4,1
Ni,1,89,4,1
Tl,0.00896,89,4,1
Pb,0.03248,89,4,1
Mo,0.00256,89,4,1
Sb,1,89,4,1
Sn,0.00416,89,4,1
As,0.00656,8,3,1
Cd,0.01088,8,3,1
Co,0.23504,8,3,1
Hg,1,8,3,1
Ni,1,8,3,1
Tl,0.00848,8,3,1
Pb,0.02,8,3,1
Mo,0.01168,8,3,1
Sb,1,8,3,1
Sn,1,8,3,1
As,0.04512,90,2,1
Cd,0.06688,90,2,1
Co,0.08416,90,2,1
Hg,1,90,2,1
Ni,1,90,2,1
Tl,0.03648,90,2,1
Pb,0.0392,90,2,1
Mo,0.03312,90,2,1
Sb,1,90,2,1
Sn,0.99184,90,2,1
As,0.01152,91,3,1
Cd,0.01056,91,3,1
Co,0.01184,91,3,1
Hg,1,91,3,1
Ni,1,91,3,1
Tl,0.00416,91,3,1
Pb,0.02528,91,3,1
Mo,0.00864,91,3,1
Sb,1,91,3,1
Sn,0.7536,91,3,1
As,0.0176,92,2,1
Cd,0.0112,92,2,1
Co,0.25008,92,2,1
Hg,0.99984,92,2,1
Ni,1,92,2,1
Tl,0.04544,92,2,1
Pb,0.02928,92,2,1
Mo,0.01536,92,2,1
Sb,1,92,2,1
Sn,0.72064,92,2,1
As,0.0288,93,3,1
Cd,0.01904,93,3,1
Co,0.16432,93,3,1
Hg,0.99968,93,3,1
Ni,0.99888,93,3,1
Tl,0.0424,93,3,1
Pb,0.00736,93,3,1
Mo,0.01984,93,3,1
Sb,1,93,3,1
Sn,0.58032,93,3,1
As,0.03648,94,3,1
Cd,0.00688,94,3,1
Co,0.008,94,3,1
Hg,1,94,3,1
Ni,0.99984,94,3,1
Tl,0.01568,94,3,1
Pb,0.00656,94,3,1
Mo,0.00528,94,3,1
Sb,1,94,3,1
Sn,0.82784,94,3,1
As,0.27744,95,2,1
Cd,0.0296,95,2,1
Co,0.02624,95,2,1
Hg,1,95,2,1
Ni,1,95,2,1
Tl,0.02,95,2,1
Pb,0.036,95,2,1
Mo,0.02096,95,2,1
Sb,1,95,2,1
Sn,0.04592,95,2,1
As,0.01664,96,4,1
Cd,0.0128,96,4,1
Co,0.01328,96,4,1
Hg,1,96,4,1
Ni,1,96,4,1
Tl,8e-4,96,4,1
Pb,0.00144,96,4,1
Mo,0.00128,96,4,1
Sb,1,96,4,1
Sn,0.2752,96,4,1
As,0.01744,97,4,1
Cd,0.01552,97,4,1
Co,0.05136,97,4,1
Hg,0.99456,97,4,1
Ni,1,97,4,1
Tl,0.00512,97,4,1
Pb,0.05168,97,4,1
Mo,0.04784,97,4,1
Sb,1,97,4,1
Sn,0.99568,97,4,1
As,0.02528,98,3,1
Cd,0.01552,98,3,1
Co,0.01584,98,3,1
Hg,1,98,3,1
Ni,1,98,3,1
Tl,0.08096,98,3,1
Pb,0.03024,98,3,1
Mo,0.1264,98,3,1
Sb,1,98,3,1
Sn,0.8896,98,3,1
As,0.00528,99,4,1
Cd,0.00656,99,4,1
Co,0.01088,99,4,1
Hg,1,99,4,1
Ni,1,99,4,1
Tl,0.00528,99,4,1
Pb,0.00336,99,4,1
Mo,0.00192,99,4,1
Sb,1,99,4,1
Sn,0.0128,99,4,1
As,0.22992,9,3,1
Cd,0.01408,9,3,1
Co,0.01536,9,3,1
Hg,0.99984,9,3,1
Ni,1,9,3,1
Tl,0.02736,9,3,1
Pb,0.03328,9,3,1
Mo,0.012,9,3,1
Sb,1,9,3,1
Sn,0.98464,9,3,1
