variable,PIP,race,trial,case
Tl,0.4288,3,19,1
Pb,0.37444,3,19,1
Mo,0.36564,3,19,1
Sb,0.37372,3,19,1
Sn,0.38064,3,19,1
As,0.60772,4,19,1
Cd,0.47164,4,19,1
Co,0.29076,4,19,1
Hg,0.99476,4,19,1
Ni,1,4,19,1
Tl,0.28016,4,19,1
Pb,0.76348,4,19,1
Mo,0.30144,4,19,1
Sb,0.99548,4,19,1
Sn,0.59888,4,19,1
As,0.64108,5,19,1
Cd,0.37188,5,19,1
Co,0.70772,5,19,1
Hg,0.9248,5,19,1
Ni,0.90836,5,19,1
Tl,0.53288,5,19,1
Pb,0.80376,5,19,1
Mo,0.462,5,19,1
Sb,0.97492,5,19,1
Sn,0.53628,5,19,1
As,0.33752,1,2,1
Cd,0.34176,1,2,1
Co,0.33932,1,2,1
Hg,0.41936,1,2,1
Ni,0.39312,1,2,1
Tl,0.57936,1,2,1
Pb,0.41252,1,2,1
Mo,0.3696,1,2,1
Sb,0.50632,1,2,1
Sn,0.40128,1,2,1
As,0.39828,2,2,1
Cd,0.39316,2,2,1
Co,0.5238,2,2,1
Hg,0.6376,2,2,1
Ni,0.97284,2,2,1
Tl,0.38812,2,2,1
Pb,0.54912,2,2,1
Mo,0.39908,2,2,1
Sb,0.44768,2,2,1
Sn,0.78268,2,2,1
As,0.37612,3,2,1
Cd,0.54864,3,2,1
Co,0.56572,3,2,1
Hg,0.47272,3,2,1
Ni,0.62548,3,2,1
Tl,0.4062,3,2,1
Pb,0.42024,3,2,1
Mo,0.51936,3,2,1
Sb,0.50136,3,2,1
Sn,0.42332,3,2,1
As,0.50636,4,2,1
Cd,0.38068,4,2,1
Co,0.33076,4,2,1
Hg,0.46288,4,2,1
Ni,0.62236,4,2,1
Tl,0.43584,4,2,1
Pb,0.47544,4,2,1
Mo,0.32184,4,2,1
Sb,0.91908,4,2,1
Sn,0.62248,4,2,1
As,0.59572,5,2,1
Cd,0.28052,5,2,1
Co,0.526,5,2,1
Hg,0.88344,5,2,1
Ni,0.92524,5,2,1
Tl,0.28596,5,2,1
Pb,0.42288,5,2,1
Mo,0.43492,5,2,1
Sb,0.98876,5,2,1
Sn,0.5594,5,2,1
As,0.38176,1,20,1
Cd,0.4508,1,20,1
Co,0.35544,1,20,1
Hg,0.572,1,20,1
Ni,0.3986,1,20,1
Tl,0.37632,1,20,1
Pb,0.40088,1,20,1
Mo,0.3512,1,20,1
Sb,0.40728,1,20,1
Sn,0.38272,1,20,1
As,0.33864,2,20,1
Cd,0.31888,2,20,1
Co,0.4266,2,20,1
Hg,0.53092,2,20,1
Ni,0.85792,2,20,1
Tl,0.39996,2,20,1
Pb,0.40808,2,20,1
Mo,0.49976,2,20,1
Sb,0.69064,2,20,1
Sn,0.36156,2,20,1
As,0.46024,3,20,1
Cd,0.39888,3,20,1
Co,0.52184,3,20,1
Hg,0.46256,3,20,1
Ni,0.71244,3,20,1
Tl,0.79184,3,20,1
Pb,0.4006,3,20,1
Mo,0.40144,3,20,1
Sb,0.46372,3,20,1
Sn,0.41444,3,20,1
As,0.1272,4,20,1
Cd,0.16956,4,20,1
Co,0.18676,4,20,1
Hg,0.97468,4,20,1
Ni,0.88572,4,20,1
Tl,0.23956,4,20,1
Pb,0.2554,4,20,1
Mo,0.12204,4,20,1
Sb,1,4,20,1
Sn,0.44224,4,20,1
As,0.56296,5,20,1
Cd,0.61052,5,20,1
Co,0.65912,5,20,1
Hg,0.71988,5,20,1
Ni,1,5,20,1
Tl,0.44336,5,20,1
Pb,0.82068,5,20,1
Mo,0.83848,5,20,1
Sb,1,5,20,1
Sn,0.40248,5,20,1
As,0.3684,1,21,1
Cd,0.3882,1,21,1
Co,0.41328,1,21,1
Hg,0.52584,1,21,1
Ni,0.7148,1,21,1
Tl,0.43016,1,21,1
Pb,0.40768,1,21,1
Mo,0.34664,1,21,1
Sb,0.5954,1,21,1
Sn,0.39676,1,21,1
As,0.52132,2,21,1
Cd,0.89864,2,21,1
Co,0.48348,2,21,1
Hg,0.99696,2,21,1
Ni,0.984,2,21,1
Tl,0.61264,2,21,1
Pb,0.48732,2,21,1
Mo,0.48768,2,21,1
Sb,0.7264,2,21,1
Sn,0.3802,2,21,1
As,0.60196,3,21,1
Cd,0.67452,3,21,1
Co,0.7818,3,21,1
Hg,0.65276,3,21,1
Ni,0.85932,3,21,1
Tl,0.62412,3,21,1
Pb,0.79436,3,21,1
Mo,0.60416,3,21,1
Sb,0.59004,3,21,1
Sn,0.8554,3,21,1
As,0.39288,4,21,1
Cd,0.40152,4,21,1
Co,0.63872,4,21,1
Hg,0.91152,4,21,1
Ni,0.77,4,21,1
Tl,0.39828,4,21,1
Pb,0.50812,4,21,1
Mo,0.41528,4,21,1
Sb,1,4,21,1
Sn,0.73188,4,21,1
As,0.24072,5,21,1
Cd,0.46112,5,21,1
Co,0.15744,5,21,1
Hg,0.94064,5,21,1
Ni,1,5,21,1
Tl,0.33156,5,21,1
Pb,0.30696,5,21,1
Mo,0.18904,5,21,1
Sb,0.99504,5,21,1
Sn,0.641,5,21,1
As,0.2996,1,22,1
Cd,0.4206,1,22,1
Co,0.46756,1,22,1
Hg,0.2956,1,22,1
Ni,0.43696,1,22,1
Tl,0.29024,1,22,1
Pb,0.3084,1,22,1
Mo,0.30848,1,22,1
Sb,0.31124,1,22,1
Sn,0.38296,1,22,1
As,0.50628,2,22,1
Cd,0.40352,2,22,1
Co,0.4008,2,22,1
Hg,0.71144,2,22,1
Ni,0.49472,2,22,1
Tl,0.39764,2,22,1
Pb,0.592,2,22,1
Mo,0.45244,2,22,1
Sb,0.49868,2,22,1
Sn,0.41144,2,22,1
As,0.61656,3,22,1
Cd,0.60192,3,22,1
Co,0.58356,3,22,1
Hg,0.75608,3,22,1
Ni,0.74896,3,22,1
Tl,0.64104,3,22,1
Pb,0.64908,3,22,1
Mo,0.64828,3,22,1
Sb,0.9006,3,22,1
Sn,0.628,3,22,1
As,0.2482,4,22,1
Cd,0.26372,4,22,1
Co,0.41752,4,22,1
Hg,0.45324,4,22,1
Ni,0.47612,4,22,1
Tl,0.31904,4,22,1
Pb,0.32144,4,22,1
Mo,0.35736,4,22,1
Sb,0.7872,4,22,1
Sn,0.86536,4,22,1
As,0.28088,5,22,1
Cd,0.26668,5,22,1
Co,0.22744,5,22,1
Hg,1,5,22,1
Ni,0.99136,5,22,1
Tl,0.38768,5,22,1
Pb,0.16896,5,22,1
Mo,0.16828,5,22,1
Sb,0.97524,5,22,1
Sn,0.94792,5,22,1
As,0.48228,1,23,1
Cd,0.52252,1,23,1
Co,0.52092,1,23,1
Hg,0.5198,1,23,1
Ni,0.61416,1,23,1
Tl,0.90548,1,23,1
Pb,0.60464,1,23,1
Mo,0.95168,1,23,1
Sb,0.78232,1,23,1
Sn,0.76568,1,23,1
As,0.2692,2,23,1
Cd,0.23532,2,23,1
Co,0.31912,2,23,1
Hg,0.58452,2,23,1
Ni,0.30984,2,23,1
Tl,0.39108,2,23,1
Pb,0.21264,2,23,1
Mo,0.2034,2,23,1
Sb,0.99124,2,23,1
Sn,0.2798,2,23,1
As,0.35036,3,23,1
Cd,0.33644,3,23,1
Co,0.3582,3,23,1
Hg,0.82308,3,23,1
Ni,0.32436,3,23,1
Tl,0.37532,3,23,1
Pb,0.4062,3,23,1
Mo,0.40464,3,23,1
Sb,0.34612,3,23,1
Sn,0.34996,3,23,1
As,0.18856,4,23,1
Cd,0.22736,4,23,1
Co,0.18884,4,23,1
Hg,0.75208,4,23,1
Ni,1,4,23,1
Tl,0.12232,4,23,1
Pb,0.30576,4,23,1
Mo,0.2044,4,23,1
Sb,1,4,23,1
Sn,0.24148,4,23,1
As,0.29472,5,23,1
Cd,0.44848,5,23,1
Co,0.29428,5,23,1
Hg,0.62348,5,23,1
Ni,1,5,23,1
Tl,0.37472,5,23,1
Pb,0.28504,5,23,1
Mo,0.48288,5,23,1
Sb,1,5,23,1
Sn,0.524,5,23,1
As,0.6534,1,24,1
Cd,0.62292,1,24,1
Co,0.6858,1,24,1
Hg,0.73776,1,24,1
Ni,0.62976,1,24,1
Tl,0.57156,1,24,1
