variable,PIP,race,trial,case
Sb,0.93796,4,19,1
Sn,0.86464,4,19,1
As,0.4654,5,19,1
Cd,0.58672,5,19,1
Co,0.63604,5,19,1
Hg,0.43404,5,19,1
Ni,0.61116,5,19,1
Tl,0.47276,5,19,1
Pb,0.39008,5,19,1
Mo,0.31556,5,19,1
Sb,0.83636,5,19,1
Sn,0.45332,5,19,1
As,0.56216,6,19,1
Cd,0.47068,6,19,1
Co,0.46696,6,19,1
Hg,0.47304,6,19,1
Ni,0.74396,6,19,1
Tl,0.48548,6,19,1
Pb,0.47448,6,19,1
Mo,0.48972,6,19,1
Sb,0.54372,6,19,1
Sn,0.55956,6,19,1
As,0.47388,1,2,1
Cd,0.5244,1,2,1
Co,0.46588,1,2,1
Hg,0.46256,1,2,1
Ni,0.52516,1,2,1
Tl,0.4884,1,2,1
Pb,0.51532,1,2,1
Mo,0.52148,1,2,1
Sb,0.4936,1,2,1
Sn,0.52032,1,2,1
As,0.45828,2,2,1
Cd,0.58048,2,2,1
Co,0.5294,2,2,1
Hg,0.66728,2,2,1
Ni,0.57592,2,2,1
Tl,0.50156,2,2,1
Pb,0.67596,2,2,1
Mo,0.5108,2,2,1
Sb,0.5612,2,2,1
Sn,0.48796,2,2,1
As,0.79536,3,2,1
Cd,0.63168,3,2,1
Co,0.62424,3,2,1
Hg,0.6386,3,2,1
Ni,0.8948,3,2,1
Tl,0.70016,3,2,1
Pb,0.6454,3,2,1
Mo,0.61784,3,2,1
Sb,0.64784,3,2,1
Sn,0.62492,3,2,1
As,0.3364,4,2,1
Cd,0.43604,4,2,1
Co,0.43504,4,2,1
Hg,0.48044,4,2,1
Ni,0.93056,4,2,1
Tl,0.34756,4,2,1
Pb,0.41448,4,2,1
Mo,0.58988,4,2,1
Sb,0.9846,4,2,1
Sn,0.31324,4,2,1
As,0.27884,5,2,1
Cd,0.59028,5,2,1
Co,0.56112,5,2,1
Hg,0.84492,5,2,1
Ni,0.99828,5,2,1
Tl,0.3952,5,2,1
Pb,0.75848,5,2,1
Mo,0.47044,5,2,1
Sb,0.99584,5,2,1
Sn,0.88464,5,2,1
As,0.35468,6,2,1
Cd,0.34208,6,2,1
Co,0.39724,6,2,1
Hg,0.54488,6,2,1
Ni,0.3658,6,2,1
Tl,0.56868,6,2,1
