z1,z2,est,sd,trial,case
Cd,Tl,0.0140796990077483,0.05519827022221962,103,2
Cd,Pb,-0.00222677127308346,0.02796211984916348,103,2
Cd,Mo,0.00656135489610631,0.06300742479390468,103,2
Cd,Sb,-0.14928648416029056,0.24646471903822667,103,2
Cd,Sn,-0.02644302449848989,0.1096022945417412,103,2
Co,Hg,0.22048975858567751,0.237710092491632,103,2
Co,Ni,0.18915702974816817,0.23818467963576817,103,2
Co,Tl,-0.00735666705224891,0.0905740654710539,103,2
Co,Pb,0.00479486706495735,0.04625286123694595,103,2
Co,Mo,-0.00158837193821681,0.10249753164891506,103,2
Co,Sb,0.03594183948378182,0.3640521791200166,103,2
Co,Sn,-0.11366002846522028,0.1724072908359295,103,2
Hg,Ni,-0.0134099181363938,0.3081800406431177,103,2
Hg,Tl,0.02072486881795976,0.17128724132241643,103,2
Hg,Pb,0.00499867540729992,0.0925726808627749,103,2
Hg,Mo,0.1670411054422578,0.17923744708705053,103,2
Hg,Sb,0.732886760334245,0.40166206455734416,103,2
Hg,Sn,0.16183219028450413,0.254461180430346,103,2
Ni,Tl,-0.09807616910879746,0.1704491638084449,103,2
Ni,Pb,-0.01927349414611301,0.09262564728732156,103,2
Ni,Mo,0.0823559377115286,0.18159842742037444,103,2
Ni,Sb,0.5138108494201092,0.4361406795634956,103,2
Ni,Sn,-0.18922670575782652,0.2637138208911825,103,2
Tl,Pb,0.00159325457436598,0.03027717366887439,103,2
Tl,Mo,-0.01783771288274849,0.06850391829610938,103,2
Tl,Sb,0.04080494461395401,0.2727781711747262,103,2
Tl,Sn,-0.03109778478455105,0.1202466154885106,103,2
Pb,Mo,-0.00331458438195575,0.0348179151019392,103,2
Pb,Sb,-6.818641016450577e-4,0.15856623578265702,103,2
Pb,Sn,-0.00234796028096395,0.06206046321256628,103,2
Mo,Sb,0.251680309583322,0.2729147689356764,103,2
Mo,Sn,-0.08451950013142495,0.13098837358721593,103,2
Sb,Sn,-0.18963081614806176,0.3557182349347671,103,2
As,Cd,8.409366788653116e-4,0.01133483407975755,104,2
As,Co,8.098518276167255e-5,0.00968757345406627,104,2
As,Hg,-0.0030210338461849,0.05202218588843285,104,2
As,Ni,-0.00606256050364351,0.04740249215086903,104,2
As,Tl,5.06261464781943e-4,0.01369343201545567,104,2
As,Pb,7.405074747199869e-4,0.0112163760732728,104,2
As,Mo,0.00520563391309769,0.03581008252806274,104,2
As,Sb,0.0141732246035473,0.09227729421288776,104,2
As,Sn,0.00252420122237229,0.01915677592914042,104,2
Cd,Co,-8.746849057361672e-5,0.01744078375552761,104,2
Cd,Hg,-0.02762437571239928,0.09213192144158956,104,2
Cd,Ni,-0.00326343297809561,0.08470769531122281,104,2
Cd,Tl,-0.00190669437560719,0.0246385066006708,104,2
Cd,Pb,-2.276936976373101e-4,0.0201893746443072,104,2
Cd,Mo,3.3232484986589483e-4,0.06392554424687034,104,2
Cd,Sb,-0.03385434338135296,0.15888194219588347,104,2
Cd,Sn,0.00488568178543413,0.03438647767893104,104,2
Co,Hg,0.01627519508428987,0.080617788862107,104,2
Co,Ni,-0.0049671483031437,0.07365080341726087,104,2
Co,Tl,-7.977443647577687e-5,0.02107175044045269,104,2
Co,Pb,-0.00140046378803138,0.0172642384875425,104,2
Co,Mo,-0.00583032744127809,0.05511767567247038,104,2
Co,Sb,0.03387556523210078,0.14349678221478188,104,2
Co,Sn,0.00228027434958999,0.02950233974826579,104,2
Hg,Ni,0.30842318857436,0.2490182811837836,104,2
Hg,Tl,2.6036426906017596e-4,0.11124405372606774,104,2
Hg,Pb,-0.04368568785954441,0.09185489554149108,104,2
Hg,Mo,0.24536566421380357,0.21477630058708705,104,2
Hg,Sb,0.3353166216500094,0.33576127343849244,104,2
Hg,Sn,0.01093512914535743,0.14430090566553827,104,2
Ni,Tl,0.03110577699929173,0.10209769497402846,104,2
Ni,Pb,-0.01937526862047711,0.08451489013353121,104,2
Ni,Mo,-0.1460481916681129,0.1996286441434438,104,2
Ni,Sb,0.2320448742316952,0.3490919887695394,104,2
Ni,Sn,0.01913173647121713,0.13359382178730467,104,2
Tl,Pb,8.750166041835428e-4,0.02439259025939292,104,2
Tl,Mo,0.01139430582278766,0.07706057116292958,104,2
Tl,Sb,-0.00244027611790853,0.1928580740089218,104,2
Tl,Sn,0.00384628457479419,0.04157225697420635,104,2
Pb,Mo,0.00665235165963062,0.06345364502779612,104,2
Pb,Sb,-0.00377045729551417,0.1609652671568804,104,2
Pb,Sn,0.00484419477314634,0.03407956322349353,104,2
Mo,Sb,-0.07843324157159692,0.2878848191544275,104,2
Mo,Sn,0.02206155138168863,0.10306529186384228,104,2
Sb,Sn,0.07943764646290452,0.22285175252382536,104,2
As,Cd,-9.283424168053944e-4,0.03841998011921246,105,2
As,Co,0.00193968217001438,0.0246228340473059,105,2
As,Hg,-0.00549720000249243,0.08771925302524791,105,2
As,Ni,-0.01114967125215216,0.09605666554092128,105,2
As,Tl,-1.0228396517875105e-4,0.02975005422634412,105,2
As,Pb,-6.292549312836293e-5,0.01076731013033968,105,2
As,Mo,0.00130653105177591,0.01838648677565513,105,2
As,Sb,0.13362753963555196,0.227341373981482,105,2
As,Sn,2.6515712635832855e-4,0.04126535054506453,105,2
Cd,Co,0.00661669414112431,0.0534279821805048,105,2
Cd,Hg,-0.02242650878434782,0.17788820675785905,105,2
Cd,Ni,-0.05015297863585344,0.19595089593826767,105,2
Cd,Tl,-8.80767760627954e-4,0.06450409338727182,105,2
Cd,Pb,3.466102474649624e-4,0.02345171322795162,105,2
Cd,Mo,0.00387699024227972,0.03994250860157521,105,2
Cd,Sb,-0.3566812959957142,0.3970530615358864,105,2
Cd,Sn,0.01961842402013491,0.08769167723763327,105,2
Co,Hg,-0.00340685282774266,0.12305867572634792,105,2
Co,Ni,0.02529046651931166,0.13459731905936348,105,2
Co,Tl,0.00330513330588289,0.0413150186618808,105,2
Co,Pb,7.436369192959091e-5,0.01495096691390807,105,2
Co,Mo,7.420638905055732e-4,0.02553818564444743,105,2
Co,Sb,0.10910547137234428,0.3237089131163464,105,2
Co,Sn,-0.0075194689166631,0.05720158942877822,105,2
Hg,Ni,0.5669652301527845,0.29235894543140944,105,2
Hg,Tl,-0.06608978269093191,0.14561152930569662,105,2
Hg,Pb,-0.00746829974923857,0.05586621508931471,105,2
Hg,Mo,0.0252062057146043,0.0918322571488135,105,2
Hg,Sb,0.15861515019591987,0.4513161011599835,105,2
Hg,Sn,0.14172837776834024,0.18087928545285709,105,2
Ni,Tl,0.06018802121554412,0.15898378523628331,105,2
Ni,Pb,-0.00801640847536422,0.06155452972484085,105,2
Ni,Mo,-0.02008593893574772,0.10084965510352424,105,2
Ni,Sb,0.40542823172377274,0.5008074430369749,105,2
Ni,Sn,-0.1715669373392492,0.1925452882429401,105,2
Tl,Pb,3.793714468760534e-4,0.01806884893409139,105,2
Tl,Mo,-0.00170628249841131,0.03085199621462543,105,2
Tl,Sb,-0.20754546182621647,0.3624360166702841,105,2
Tl,Sn,0.01743393524237158,0.06906005837848218,105,2
Pb,Mo,2.093494739829893e-4,0.01115281992510703,105,2
Pb,Sb,0.06791611037146739,0.16569030641258958,105,2
Pb,Sn,-6.925924055360966e-4,0.0252158678668646,105,2
Mo,Sb,0.05825732181812837,0.24196858732024623,105,2
Mo,Sn,0.00361506223297913,0.0427716060999008,105,2
Sb,Sn,0.33873674450587865,0.34739125810922344,105,2
As,Cd,0.00161009342670359,0.02543585161458698,106,2
As,Co,0.00142232279132858,0.03600629245779848,106,2
As,Hg,0.00484289655368819,0.0652311425161456,106,2
As,Ni,-0.00299369043275898,0.09268790363016358,106,2
As,Tl,0.00151951944381112,0.07365150465829695,106,2
As,Pb,-5.075062094523908e-4,0.02400355230647741,106,2
As,Mo,-0.0040085909695211,0.03345585042270648,106,2
As,Sb,0.00292866634060429,0.1683989723798228,106,2
As,Sn,-0.00160376823072416,0.05527934220486018,106,2
Cd,Co,0.00999828423551996,0.06299330699070563,106,2
Cd,Hg,-0.00613831200070169,0.11247797697519944,106,2
Cd,Ni,0.03786033315252801,0.1556497747228905,106,2
Cd,Tl,0.0085299521721569,0.1264407844065304,106,2
Cd,Pb,-0.00459309363122395,0.04211060473801663,106,2
Cd,Mo,0.01979240398634374,0.05849030375800472,106,2
Cd,Sb,0.13485211592449708,0.2702144760853701,106,2
Cd,Sn,-0.04726287264816919,0.09447548836914008,106,2
Co,Hg,-0.01173366531334618,0.1553536227612078,106,2
Co,Ni,0.07137192609217724,0.21278705112086255,106,2
Co,Tl,-0.06729237984235859,0.1761201402264669,106,2
Co,Pb,2.197806299752969e-5,0.0594508954298259,106,2
Co,Mo,0.02142300668782404,0.0820204736183093,106,2
Co,Sb,0.02574759902353074,0.36638643649393576,106,2
Co,Sn,0.04458727889237313,0.13233987993585725,106,2
Hg,Ni,0.16769586886659482,0.29113123891951687,106,2
Hg,Tl,-0.13057429619971295,0.26238273154381603,106,2
Hg,Pb,0.02712405135950479,0.10738479364736736,106,2
Hg,Mo,-0.05627940915769169,0.1406657020661377,106,2
