variable,PIP,trial,case
Pb,0.0968,63,1
Mo,0.08536,63,1
Sb,1,63,1
Sn,0.96048,63,1
As,0.14168,64,1
Cd,0.26564,64,1
Co,0.90868,64,1
Hg,1,64,1
Ni,0.99484,64,1
Tl,0.279,64,1
Pb,0.3236,64,1
Mo,0.15904,64,1
Sb,1,64,1
Sn,0.43512,64,1
As,0.2968,65,1
Cd,0.58808,65,1
Co,0.74476,65,1
Hg,1,65,1
Ni,1,65,1
Tl,0.58396,65,1
Pb,0.47564,65,1
Mo,0.54232,65,1
Sb,1,65,1
Sn,1,65,1
As,0.04348,66,1
Cd,0.06512,66,1
Co,0.07408,66,1
Hg,0.91408,66,1
Ni,1,66,1
Tl,0.0636,66,1
Pb,0.18104,66,1
Mo,0.113,66,1
Sb,1,66,1
Sn,0.10204,66,1
As,0.097,67,1
Cd,0.0342,67,1
Co,0.03584,67,1
Hg,1,67,1
Ni,1,67,1
Tl,0.08128,67,1
Pb,0.30932,67,1
Mo,0.13464,67,1
Sb,1,67,1
Sn,0.40512,67,1
As,0.08836,68,1
Cd,0.09292,68,1
Co,0.10868,68,1
Hg,1,68,1
Ni,1,68,1
Tl,0.04132,68,1
Pb,0.08264,68,1
Mo,0.0876,68,1
Sb,1,68,1
Sn,0.99028,68,1
As,0.58492,69,1
Cd,0.14972,69,1
Co,0.4788,69,1
Hg,1,69,1
Ni,1,69,1
Tl,0.39112,69,1
Pb,0.29332,69,1
Mo,0.14932,69,1
Sb,1,69,1
Sn,0.9876,69,1
As,0.08548,7,1
Cd,0.09084,7,1
Co,0.22364,7,1
Hg,1,7,1
Ni,1,7,1
Tl,0.03572,7,1
Pb,0.04668,7,1
Mo,0.04756,7,1
Sb,1,7,1
Sn,0.39956,7,1
As,0.18216,70,1
Cd,0.1138,70,1
Co,0.07588,70,1
Hg,1,70,1
Ni,1,70,1
Tl,0.11248,70,1
Pb,0.20264,70,1
Mo,0.2592,70,1
Sb,1,70,1
Sn,0.79668,70,1
As,0.58252,71,1
Cd,0.40984,71,1
Co,0.2352,71,1
Hg,1,71,1
Ni,0.99496,71,1
Tl,0.36832,71,1
Pb,0.28616,71,1
Mo,0.96116,71,1
Sb,1,71,1
Sn,0.89244,71,1
As,0.12084,72,1
Cd,0.08896,72,1
Co,0.1888,72,1
Hg,1,72,1
Ni,1,72,1
Tl,0.21208,72,1
Pb,0.07592,72,1
Mo,0.37264,72,1
Sb,1,72,1
Sn,0.12896,72,1
As,0.08716,73,1
Cd,0.15652,73,1
Co,0.25464,73,1
Hg,1,73,1
Ni,1,73,1
Tl,0.0762,73,1
Pb,0.20876,73,1
Mo,0.10776,73,1
Sb,1,73,1
Sn,0.65824,73,1
As,0.16396,74,1
Cd,0.22476,74,1
Co,0.11852,74,1
Hg,1,74,1
Ni,1,74,1
Tl,0.14876,74,1
Pb,0.03224,74,1
Mo,0.03224,74,1
Sb,1,74,1
Sn,0.59776,74,1
As,0.27644,75,1
Cd,0.23732,75,1
Co,0.39412,75,1
Hg,1,75,1
Ni,0.99972,75,1
Tl,0.29112,75,1
Pb,0.12672,75,1
Mo,0.3864,75,1
Sb,1,75,1
Sn,0.96472,75,1
As,0.37428,76,1
Cd,0.09736,76,1
Co,0.10596,76,1
Hg,1,76,1
Ni,1,76,1
Tl,0.29844,76,1
Pb,0.13176,76,1
Mo,0.13748,76,1
Sb,1,76,1
Sn,0.9918,76,1
As,0.16356,77,1
Cd,0.12216,77,1
Co,0.14212,77,1
Hg,0.9786,77,1
Ni,1,77,1
Tl,0.79488,77,1
Pb,0.12072,77,1
Mo,0.14204,77,1
Sb,1,77,1
Sn,0.94776,77,1
As,0.07924,78,1
Cd,0.20844,78,1
Co,0.33448,78,1
Hg,1,78,1
Ni,1,78,1
Tl,0.2284,78,1
Pb,0.1132,78,1
Mo,0.13584,78,1
Sb,1,78,1
Sn,0.85444,78,1
As,0.37024,79,1
Cd,0.26588,79,1
Co,0.21856,79,1
Hg,1,79,1
Ni,1,79,1
Tl,0.23108,79,1
Pb,0.2918,79,1
Mo,0.75796,79,1
Sb,1,79,1
Sn,0.71892,79,1
As,0.0462,8,1
Cd,0.17212,8,1
Co,0.25904,8,1
Hg,1,8,1
Ni,1,8,1
Tl,0.1898,8,1
Pb,0.14252,8,1
Mo,0.0608,8,1
Sb,1,8,1
Sn,1,8,1
As,0.04948,80,1
Cd,0.06936,80,1
Co,0.4234,80,1
Hg,1,80,1
Ni,1,80,1
Tl,0.14296,80,1
Pb,0.37272,80,1
Mo,0.293,80,1
Sb,1,80,1
Sn,0.27904,80,1
As,0.68064,81,1
Cd,0.5056,81,1
Co,0.33748,81,1
Hg,1,81,1
Ni,1,81,1
Tl,0.59804,81,1
Pb,0.33856,81,1
Mo,0.55212,81,1
Sb,1,81,1
Sn,0.97888,81,1
As,0.22284,82,1
Cd,0.19572,82,1
Co,0.12848,82,1
Hg,1,82,1
Ni,1,82,1
Tl,0.0912,82,1
Pb,0.08208,82,1
Mo,0.1234,82,1
Sb,1,82,1
Sn,1,82,1
As,0.08724,83,1
Cd,0.31852,83,1
Co,0.3576,83,1
Hg,1,83,1
Ni,1,83,1
Tl,0.62512,83,1
Pb,0.2586,83,1
Mo,0.13396,83,1
Sb,1,83,1
Sn,0.6562,83,1
As,0.10408,84,1
Cd,0.38152,84,1
Co,0.2174,84,1
Hg,1,84,1
Ni,1,84,1
Tl,0.11876,84,1
Pb,0.24396,84,1
Mo,0.16304,84,1
Sb,1,84,1
Sn,0.99884,84,1
As,0.5824,85,1
Cd,0.57768,85,1
Co,0.5086,85,1
Hg,0.99612,85,1
Ni,1,85,1
Tl,0.46068,85,1
Pb,0.33472,85,1
Mo,0.31012,85,1
Sb,1,85,1
Sn,0.87484,85,1
As,0.15824,86,1
Cd,0.3238,86,1
Co,0.14976,86,1
Hg,1,86,1
Ni,1,86,1
Tl,0.16588,86,1
Pb,0.54032,86,1
Mo,0.35552,86,1
Sb,1,86,1
Sn,0.41908,86,1
As,0.83408,87,1
Cd,0.91296,87,1
Co,0.50576,87,1
Hg,1,87,1
Ni,1,87,1
Tl,0.33108,87,1
Pb,0.4678,87,1
Mo,0.96504,87,1
Sb,1,87,1
Sn,0.99064,87,1
As,0.0432,88,1
Cd,0.14044,88,1
Co,0.10064,88,1
Hg,1,88,1
Ni,1,88,1
Tl,0.30108,88,1
Pb,0.06536,88,1
Mo,0.24992,88,1
Sb,1,88,1
Sn,0.98576,88,1
As,0.13592,89,1
Cd,0.12516,89,1
Co,0.10984,89,1
Hg,1,89,1
Ni,1,89,1
Tl,0.072,89,1
Pb,0.3978,89,1
Mo,0.2068,89,1
Sb,1,89,1
Sn,0.22064,89,1
As,0.4492,9,1
Cd,0.1882,9,1
Co,0.1814,9,1
Hg,1,9,1
Ni,1,9,1
Tl,0.25276,9,1
Pb,0.201,9,1
