variable,fixedat1,fixedat2,est,sd,trial,case
Tl,Hg,Ni,-0.044205752352042715,0.2922192835327227,1437,15
Hg,Ni,Tl,-0.07669239491643198,0.2950593887679831,1438,15
Ni,Tl,Hg,-0.1931885830084208,0.2965944545576714,1438,15
Tl,Hg,Ni,-0.09226694980700145,0.24942753155513867,1438,15
Hg,Ni,Tl,-0.03819768904677634,0.38531813344655064,1439,15
Ni,Tl,Hg,0.08434924386255638,0.3670346938716404,1439,15
Tl,Hg,Ni,0.046882962343492984,0.2793169644747461,1439,15
Hg,Ni,Tl,-0.02858909863802772,0.2565455161317326,1440,15
Ni,Tl,Hg,-0.014890836310915923,0.24858422834728844,1440,15
Tl,Hg,Ni,-0.1388046577906934,0.19810357202625484,1440,15
Hg,Ni,Tl,0.5683926094930305,0.323826553510532,1441,15
Ni,Tl,Hg,0.37187988609944167,0.3062884981602109,1441,15
Tl,Hg,Ni,0.03437726945769448,0.2370176157245736,1441,15
Hg,Ni,Tl,-0.16017083535972398,0.2884916080629,1442,15
Ni,Tl,Hg,-0.19980289751521996,0.2974155609813113,1442,15
Tl,Hg,Ni,-0.056043570192741754,0.17985855765768285,1442,15
Hg,Ni,Tl,0.3260483286806011,0.3788059885372097,1443,15
Ni,Tl,Hg,-0.15873846703261396,0.3996539005351614,1443,15
Tl,Hg,Ni,0.2673433564303913,0.4075441918291154,1443,15
Hg,Ni,Tl,0.08386211074174765,0.3134308169852272,1444,15
Ni,Tl,Hg,0.042344147579430835,0.3184896498056944,1444,15
Tl,Hg,Ni,0.30551123951871206,0.2754154077383509,1444,15
Hg,Ni,Tl,0.44134197133321784,0.5522810321656341,1445,15
Ni,Tl,Hg,0.2942037781916387,0.5998374865700296,1445,15
Tl,Hg,Ni,0.2324940472166448,0.4906679606289603,1445,15
Hg,Ni,Tl,-0.060103707539610696,0.3485113245145469,1446,15
Ni,Tl,Hg,-0.25957843526233937,0.3805086200713964,1446,15
Tl,Hg,Ni,-0.1517151925801219,0.35954363348774526,1446,15
Hg,Ni,Tl,-0.002233880388781584,0.04266910182586106,1447,15
Ni,Tl,Hg,-0.0049081497957044196,0.056215132087707335,1447,15
Tl,Hg,Ni,-0.0013284320236905955,0.04200327741652425,1447,15
Hg,Ni,Tl,0.2093363248344442,0.2797780916350222,1448,15
Ni,Tl,Hg,0.23943659808578044,0.2786931520232232,1448,15
Tl,Hg,Ni,0.007866018276537545,0.20561246447435907,1448,15
Hg,Ni,Tl,0.05117222804080823,0.354780518956158,1449,15
Ni,Tl,Hg,0.07315109512572526,0.39864455871565385,1449,15
Tl,Hg,Ni,-0.026053360123222458,0.3256500858768801,1449,15
Hg,Ni,Tl,0.13015327835349666,0.3947554367358021,1450,15
Ni,Tl,Hg,-0.06405493385674399,0.3927272796274797,1450,15
Tl,Hg,Ni,0.07951703302238267,0.3055851986311002,1450,15
Hg,Ni,Tl,0.07889889996775423,0.30547682144405913,1451,15
Ni,Tl,Hg,0.2036921018040596,0.2925011959244685,1451,15
Tl,Hg,Ni,-0.08761807661264198,0.22564362880046127,1451,15
Hg,Ni,Tl,-0.2546563314522423,0.28487826199838207,1452,15
Ni,Tl,Hg,-0.3206392105801754,0.2824323054944803,1452,15
Tl,Hg,Ni,-0.10154023759957109,0.20715420865049317,1452,15
Hg,Ni,Tl,-0.06665809069452422,0.37135081397724456,1453,15
Ni,Tl,Hg,-0.06161911366459005,0.35527777377249986,1453,15
Tl,Hg,Ni,-0.14589665760953618,0.3575645147823621,1453,15
Hg,Ni,Tl,0.211909803509978,0.3340066491998481,1454,15
Ni,Tl,Hg,0.21334619299264101,0.3519471089720326,1454,15
Tl,Hg,Ni,-0.01106881641091384,0.19479065690735792,1454,15
Hg,Ni,Tl,0.03473622281645117,0.3314908738933073,1455,15
Ni,Tl,Hg,-0.10977202845997258,0.34492685259960504,1455,15
Tl,Hg,Ni,0.06743501459653878,0.35795761490233535,1455,15
Hg,Ni,Tl,-6.600505091052256e-4,0.26724541915096967,1456,15
Ni,Tl,Hg,0.03651580736899973,0.25642071261611515,1456,15
Tl,Hg,Ni,0.094674285062327,0.21513054067417733,1456,15
Hg,Ni,Tl,0.336195148138807,0.3261214994220489,1457,15
Ni,Tl,Hg,0.03577095240436945,0.3367077097024279,1457,15
Tl,Hg,Ni,-0.3352170368326024,0.3484274610409255,1457,15
Hg,Ni,Tl,-0.06597241246552255,0.2759542555451348,1458,15
Ni,Tl,Hg,-0.026600809874199882,0.2798223682884303,1458,15
Tl,Hg,Ni,0.01670470088187237,0.1230997401035188,1458,15
Hg,Ni,Tl,-0.011071466817565767,0.3937669557046174,1459,15
Ni,Tl,Hg,-0.3153373021736696,0.4452746773919552,1459,15
Tl,Hg,Ni,-0.5695934338168631,0.4354716565841229,1459,15
Hg,Ni,Tl,-0.16904401895108778,0.2812161081382812,1460,15
Ni,Tl,Hg,-0.16098350766402314,0.2820117208345167,1460,15
Tl,Hg,Ni,-9.151800197693127e-4,0.08712229406390515,1460,15
Hg,Ni,Tl,-0.48682230232426793,0.3438768527032458,1461,15
Ni,Tl,Hg,-0.485633419882765,0.35626309482535207,1461,15
Tl,Hg,Ni,-0.06938011153966617,0.24719046771580622,1461,15
Hg,Ni,Tl,-0.032532706647533605,0.24843574395950652,1462,15
Ni,Tl,Hg,-0.08618682309917025,0.24790244239282896,1462,15
Tl,Hg,Ni,-0.040679098185789186,0.13620464451308154,1462,15
Hg,Ni,Tl,0.5138561960982857,0.537922039011202,1463,15
Ni,Tl,Hg,-0.5594958971602777,0.6196972778907984,1463,15
Tl,Hg,Ni,-1.098494701189206,0.6335414257832016,1463,15
Hg,Ni,Tl,-0.3004739281764852,0.5173739853331845,1464,15
Ni,Tl,Hg,-0.4362663835912821,0.5253216639986299,1464,15
