variable,PIP,trial,df,case
LBX170LA,0.15856,39,1,1
LBX180LA,0.11808,39,1,1
LBX187LA,0.38976,39,1,1
LBX194LA,0.18336,39,1,1
LBXPCBLA,0.26048,39,1,1
LBXHXCLA,0.12688,39,1,1
LBX118LA,0.1752,39,1,1
LBXD03LA,0.6376,39,1,1
LBXD05LA,0.9848,39,1,1
LBXD07LA,0.116,39,1,1
LBXF03LA,0.07584,39,1,1
LBXF04LA,0.71104,39,1,1
LBXF05LA,0.13424,39,1,1
LBXF08LA,0.12112,39,1,1
LBX074LA,0.53024,3,2,1
LBX099LA,0.37024,3,2,1
LBX138LA,0.14384,3,2,1
LBX153LA,0.18576,3,2,1
LBX170LA,0.23328,3,2,1
LBX180LA,0.17072,3,2,1
LBX187LA,0.63936,3,2,1
LBX194LA,0.39136,3,2,1
LBXPCBLA,0.1544,3,2,1
LBXHXCLA,0.11536,3,2,1
LBX118LA,0.14928,3,2,1
LBXD03LA,0.12624,3,2,1
LBXD05LA,0.88832,3,2,1
LBXD07LA,0.11536,3,2,1
LBXF03LA,0.0944,3,2,1
LBXF04LA,0.94144,3,2,1
LBXF05LA,0.19184,3,2,1
LBXF08LA,0.04256,3,2,1
LBX074LA,0.19872,40,2,1
LBX099LA,0.15856,40,2,1
LBX138LA,0.38576,40,2,1
LBX153LA,0.25328,40,2,1
LBX170LA,0.36528,40,2,1
LBX180LA,0.24768,40,2,1
LBX187LA,0.45168,40,2,1
LBX194LA,0.99424,40,2,1
LBXPCBLA,0.22624,40,2,1
LBXHXCLA,0.38656,40,2,1
LBX118LA,0.52928,40,2,1
LBXD03LA,0.1696,40,2,1
LBXD05LA,0.7712,40,2,1
LBXD07LA,0.69264,40,2,1
LBXF03LA,0.22288,40,2,1
LBXF04LA,0.93392,40,2,1
LBXF05LA,0.13712,40,2,1
LBXF08LA,0.16512,40,2,1
LBX074LA,0.80224,41,1,1
LBX099LA,0.1336,41,1,1
LBX138LA,0.31616,41,1,1
LBX153LA,0.29984,41,1,1
LBX170LA,0.72592,41,1,1
LBX180LA,0.39216,41,1,1
LBX187LA,0.16992,41,1,1
LBX194LA,0.26928,41,1,1
LBXPCBLA,0.30544,41,1,1
LBXHXCLA,0.12416,41,1,1
LBX118LA,0.41024,41,1,1
LBXD03LA,0.1328,41,1,1
LBXD05LA,0.98752,41,1,1
LBXD07LA,0.1168,41,1,1
LBXF03LA,0.14944,41,1,1
LBXF04LA,0.984,41,1,1
LBXF05LA,0.12656,41,1,1
LBXF08LA,0.94896,41,1,1
LBX074LA,0.36752,42,2,1
LBX099LA,0.0792,42,2,1
LBX138LA,0.29872,42,2,1
LBX153LA,0.33168,42,2,1
LBX170LA,0.6752,42,2,1
LBX180LA,0.27376,42,2,1
LBX187LA,0.36944,42,2,1
LBX194LA,0.92704,42,2,1
LBXPCBLA,0.11776,42,2,1
LBXHXCLA,0.17568,42,2,1
LBX118LA,0.21984,42,2,1
LBXD03LA,0.48784,42,2,1
LBXD05LA,0.88656,42,2,1
LBXD07LA,0.22304,42,2,1
LBXF03LA,0.70624,42,2,1
LBXF04LA,0.99856,42,2,1
LBXF05LA,0.0784,42,2,1
LBXF08LA,0.03248,42,2,1
LBX074LA,0.95984,43,2,1
LBX099LA,0.12464,43,2,1
LBX138LA,0.20576,43,2,1
LBX153LA,0.18192,43,2,1
LBX170LA,0.56288,43,2,1
LBX180LA,0.19696,43,2,1
LBX187LA,0.19696,43,2,1
LBX194LA,0.31296,43,2,1
LBXPCBLA,0.1896,43,2,1
LBXHXCLA,0.14464,43,2,1
LBX118LA,0.104,43,2,1
LBXD03LA,0.16384,43,2,1
LBXD05LA,0.9992,43,2,1
LBXD07LA,0.05136,43,2,1
LBXF03LA,0.05488,43,2,1
LBXF04LA,0.59392,43,2,1
LBXF05LA,0.37552,43,2,1
LBXF08LA,0.0736,43,2,1
LBX074LA,0.37856,44,4,1
LBX099LA,0.08704,44,4,1
LBX138LA,0.06736,44,4,1
LBX153LA,0.116,44,4,1
LBX170LA,0.12464,44,4,1
LBX180LA,0.1488,44,4,1
LBX187LA,0.0936,44,4,1
LBX194LA,0.99568,44,4,1
LBXPCBLA,0.91552,44,4,1
LBXHXCLA,0.05088,44,4,1
LBX118LA,0.3032,44,4,1
LBXD03LA,0.28288,44,4,1
LBXD05LA,0.66944,44,4,1
LBXD07LA,0.53872,44,4,1
LBXF03LA,0.09936,44,4,1
LBXF04LA,0.65696,44,4,1
LBXF05LA,0.04592,44,4,1
LBXF08LA,0.01904,44,4,1
LBX074LA,0.20864,45,4,1
LBX099LA,0.36016,45,4,1
LBX138LA,0.08768,45,4,1
LBX153LA,0.1104,45,4,1
LBX170LA,0.19024,45,4,1
LBX180LA,0.55264,45,4,1
LBX187LA,0.55408,45,4,1
LBX194LA,0.26912,45,4,1
LBXPCBLA,0.69296,45,4,1
LBXHXCLA,0.05248,45,4,1
LBX118LA,0.1344,45,4,1
LBXD03LA,0.06464,45,4,1
LBXD05LA,0.98528,45,4,1
LBXD07LA,0.05136,45,4,1
LBXF03LA,0.07104,45,4,1
