mod,case,size,var,sign,sensitivity
Naive MLR,15,Large,Tl,TRUE,0.04
Naive MLR,15,Small,As,FALSE,0.07
Naive MLR,15,Small,Cd,FALSE,0.09
Naive MLR,15,Small,Co,FALSE,0.07
Naive MLR,15,Small,Hg,TRUE,0.82
Naive MLR,15,Small,Mo,FALSE,0.03
Naive MLR,15,Small,Ni,TRUE,0.78
Naive MLR,15,Small,Pb,FALSE,0.06
Naive MLR,15,Small,Sb,TRUE,0.14
Naive MLR,15,Small,Sn,TRUE,0.2
Naive MLR,15,Small,Tl,TRUE,0.05
Naive MLR,16,Large,As,FALSE,0.04
Naive MLR,16,Large,Cd,FALSE,0.04
Naive MLR,16,Large,Co,FALSE,0.07
Naive MLR,16,Large,Hg,TRUE,1
Naive MLR,16,Large,Mo,FALSE,0.05
Naive MLR,16,Large,Ni,TRUE,1
Naive MLR,16,Large,Pb,FALSE,0.06
Naive MLR,16,Large,Sb,TRUE,0.4
Naive MLR,16,Large,Sn,TRUE,0.77
Naive MLR,16,Large,Tl,TRUE,0.12
Naive MLR,16,Small,As,FALSE,0.04
Naive MLR,16,Small,Cd,FALSE,0.07
Naive MLR,16,Small,Co,FALSE,0.01
Naive MLR,16,Small,Hg,TRUE,0.82
Naive MLR,16,Small,Mo,FALSE,0.05
Naive MLR,16,Small,Ni,TRUE,0.52
Naive MLR,16,Small,Pb,FALSE,0.05
Naive MLR,16,Small,Sb,TRUE,0.12
Naive MLR,16,Small,Sn,TRUE,0.29
Naive MLR,16,Small,Tl,TRUE,0.06
Naive MLR,17,Large,As,FALSE,0.05
Naive MLR,17,Large,Cd,FALSE,0.08
Naive MLR,17,Large,Co,FALSE,0.03
Naive MLR,17,Large,Hg,TRUE,1
Naive MLR,17,Large,Mo,FALSE,0.04
Naive MLR,17,Large,Ni,TRUE,1
Naive MLR,17,Large,Pb,FALSE,0.04
Naive MLR,17,Large,Sb,TRUE,0.46
Naive MLR,17,Large,Sn,TRUE,0.81
Naive MLR,17,Large,Tl,TRUE,0.03
Naive MLR,17,Small,As,FALSE,0.03
Naive MLR,17,Small,Cd,FALSE,0.07
Naive MLR,17,Small,Co,FALSE,0.02
Naive MLR,17,Small,Hg,TRUE,0.81
Naive MLR,17,Small,Mo,FALSE,0.08
Naive MLR,17,Small,Ni,TRUE,0.48
Naive MLR,17,Small,Pb,FALSE,0.03
Naive MLR,17,Small,Sb,TRUE,0.18
Naive MLR,17,Small,Sn,TRUE,0.29
Naive MLR,17,Small,Tl,TRUE,0.03
