size,case,variable,sensitivity,sign
Small,10,LBXF05LA,0.15,FALSE
Small,10,LBXF08LA,0.11,FALSE
Small,10,LBXHXCLA,0.09,FALSE
Small,10,LBXPCBLA,0.23,TRUE
Small,11,LBX074LA,0.4,TRUE
Small,11,LBX099LA,0.12,FALSE
Small,11,LBX118LA,0.2,FALSE
Small,11,LBX138LA,0.05,FALSE
Small,11,LBX153LA,0.11,FALSE
Small,11,LBX170LA,0.17,FALSE
Small,11,LBX180LA,0.11,FALSE
Small,11,LBX187LA,0.16,FALSE
Small,11,LBX194LA,0.46,TRUE
Small,11,LBXD03LA,0.09,FALSE
Small,11,LBXD05LA,0.4,TRUE
Small,11,LBXD07LA,0.17,FALSE
Small,11,LBXF03LA,0.07,FALSE
Small,11,LBXF04LA,0.31,TRUE
Small,11,LBXF05LA,0.1,FALSE
Small,11,LBXF08LA,0.13,FALSE
Small,11,LBXHXCLA,0.14,FALSE
Small,11,LBXPCBLA,0.15,TRUE
Small,12,LBX074LA,0.48,TRUE
Small,12,LBX099LA,0.12,FALSE
Small,12,LBX118LA,0.24,FALSE
Small,12,LBX138LA,0.1,FALSE
Small,12,LBX153LA,0.09,FALSE
Small,12,LBX170LA,0.14,FALSE
Small,12,LBX180LA,0.14,FALSE
Small,12,LBX187LA,0.2,FALSE
Small,12,LBX194LA,0.44,TRUE
Small,12,LBXD03LA,0.23,FALSE
Small,12,LBXD05LA,0.47,TRUE
Small,12,LBXD07LA,0.18,FALSE
Small,12,LBXF03LA,0.13,FALSE
Small,12,LBXF04LA,0.43,TRUE
Small,12,LBXF05LA,0.18,FALSE
Small,12,LBXF08LA,0.17,FALSE
Small,12,LBXHXCLA,0.13,FALSE
Small,12,LBXPCBLA,0.18,TRUE
Small,13,LBX074LA,0.61,TRUE
Small,13,LBX099LA,0.19,FALSE
Small,13,LBX118LA,0.25,FALSE
Small,13,LBX138LA,0.12,FALSE
Small,13,LBX153LA,0.12,FALSE
Small,13,LBX170LA,0.13,FALSE
Small,13,LBX180LA,0.15,FALSE
Small,13,LBX187LA,0.19,FALSE
Small,13,LBX194LA,0.51,TRUE
Small,13,LBXD03LA,0.24,FALSE
Small,13,LBXD05LA,0.45,TRUE
Small,13,LBXD07LA,0.12,FALSE
Small,13,LBXF03LA,0.11,FALSE
Small,13,LBXF04LA,0.43,TRUE
Small,13,LBXF05LA,0.18,FALSE
Small,13,LBXF08LA,0.13,FALSE
Small,13,LBXHXCLA,0.12,FALSE
Small,13,LBXPCBLA,0.31,TRUE
Small,14,LBX074LA,0.33,TRUE
Small,14,LBX099LA,0.13,FALSE
Small,14,LBX118LA,0.18,FALSE
Small,14,LBX138LA,0.14,FALSE
Small,14,LBX153LA,0.12,FALSE
Small,14,LBX170LA,0.17,FALSE
Small,14,LBX180LA,0.12,FALSE
Small,14,LBX187LA,0.22,FALSE
Small,14,LBX194LA,0.41,TRUE
Small,14,LBXD03LA,0.22,FALSE
Small,14,LBXD05LA,0.49,TRUE
Small,14,LBXD07LA,0.16,FALSE
Small,14,LBXF03LA,0.1,FALSE
Small,14,LBXF04LA,0.46,TRUE
Small,14,LBXF05LA,0.19,FALSE
Small,14,LBXF08LA,0.13,FALSE
Small,14,LBXHXCLA,0.12,FALSE
Small,14,LBXPCBLA,0.27,TRUE
Small,15,LBX074LA,0.25,TRUE
Small,15,LBX099LA,0.13,FALSE
Small,15,LBX118LA,0.2,FALSE
Small,15,LBX138LA,0.1,FALSE
Small,15,LBX153LA,0.1,FALSE
Small,15,LBX170LA,0.14,FALSE
Small,15,LBX180LA,0.12,FALSE
Small,15,LBX187LA,0.16,FALSE
Small,15,LBX194LA,0.45,TRUE
Small,15,LBXD03LA,0.19,FALSE
Small,15,LBXD05LA,0.4,TRUE
Small,15,LBXD07LA,0.19,FALSE
Small,15,LBXF03LA,0.09,FALSE
