mod,case,size,var,sign,sensitivity
Naive MLR,8,Large,138,FALSE,0.07
Naive MLR,8,Large,153,FALSE,0.04
Naive MLR,8,Large,170,FALSE,0.08
Naive MLR,8,Large,180,FALSE,0.12
Naive MLR,8,Large,187,FALSE,0.05
Naive MLR,8,Large,194,TRUE,0.47
Naive MLR,8,Large,D03,FALSE,0.2
Naive MLR,8,Large,D05,TRUE,0.7
Naive MLR,8,Large,D07,FALSE,0.02
Naive MLR,8,Large,F03,TRUE,0.06
Naive MLR,8,Large,F04,TRUE,0.06
Naive MLR,8,Large,F05,FALSE,0.08
Naive MLR,8,Large,F08,TRUE,0.36
Naive MLR,8,Large,HXC,FALSE,0.07
Naive MLR,8,Large,PCB,TRUE,0.3
Naive MLR,8,Small,074,TRUE,0.18
Naive MLR,8,Small,099,FALSE,0.06
Naive MLR,8,Small,118,FALSE,0.02
Naive MLR,8,Small,138,FALSE,0.06
Naive MLR,8,Small,153,FALSE,0.07
Naive MLR,8,Small,170,FALSE,0.04
Naive MLR,8,Small,180,FALSE,0.05
Naive MLR,8,Small,187,FALSE,0.04
Naive MLR,8,Small,194,TRUE,0.13
Naive MLR,8,Small,D03,FALSE,0.11
Naive MLR,8,Small,D05,TRUE,0.15
Naive MLR,8,Small,D07,FALSE,0.02
Naive MLR,8,Small,F03,TRUE,0.03
Naive MLR,8,Small,F04,TRUE,0.03
Naive MLR,8,Small,F05,FALSE,0.04
Naive MLR,8,Small,F08,TRUE,0.09
Naive MLR,8,Small,HXC,FALSE,0.03
Naive MLR,8,Small,PCB,TRUE,0.1
Naive MLR,9,Large,074,TRUE,0.47
Naive MLR,9,Large,099,FALSE,0.05
Naive MLR,9,Large,118,FALSE,0.04
Naive MLR,9,Large,138,FALSE,0.02
Naive MLR,9,Large,153,FALSE,0.06
Naive MLR,9,Large,170,FALSE,0.03
Naive MLR,9,Large,180,FALSE,0.03
Naive MLR,9,Large,187,FALSE,0.06
Naive MLR,9,Large,194,TRUE,0.42
Naive MLR,9,Large,D03,FALSE,0.23
Naive MLR,9,Large,D05,TRUE,0.77
Naive MLR,9,Large,D07,FALSE,0.12
Naive MLR,9,Large,F03,TRUE,0.04
Naive MLR,9,Large,F04,TRUE,0.06
Naive MLR,9,Large,F05,FALSE,0.06
Naive MLR,9,Large,F08,TRUE,0.82
Naive MLR,9,Large,HXC,FALSE,0.07
Naive MLR,9,Large,PCB,TRUE,0.29
Naive MLR,9,Small,074,TRUE,0.13
Naive MLR,9,Small,099,FALSE,0.05
Naive MLR,9,Small,118,FALSE,0.07
Naive MLR,9,Small,138,FALSE,0.05
Naive MLR,9,Small,153,FALSE,0.04
Naive MLR,9,Small,170,FALSE,0.04
Naive MLR,9,Small,180,FALSE,0.07
Naive MLR,9,Small,187,FALSE,0.04
Naive MLR,9,Small,194,TRUE,0.14
Naive MLR,9,Small,D03,FALSE,0.11
Naive MLR,9,Small,D05,TRUE,0.25
Naive MLR,9,Small,D07,FALSE,0.08
Naive MLR,9,Small,F03,TRUE,0.04
Naive MLR,9,Small,F04,TRUE,0.07
Naive MLR,9,Small,F05,FALSE,0.09
Naive MLR,9,Small,F08,TRUE,0.29
Naive MLR,9,Small,HXC,FALSE,0.05
Naive MLR,9,Small,PCB,TRUE,0.08
Naive MLR,10,Large,074,TRUE,0.41
Naive MLR,10,Large,099,FALSE,0.01
Naive MLR,10,Large,118,FALSE,0.08
Naive MLR,10,Large,138,FALSE,0.04
Naive MLR,10,Large,153,FALSE,0.05
Naive MLR,10,Large,170,FALSE,0.04
Naive MLR,10,Large,180,FALSE,0.05
Naive MLR,10,Large,187,FALSE,0.05
Naive MLR,10,Large,194,TRUE,0.63
Naive MLR,10,Large,D03,FALSE,0.11
Naive MLR,10,Large,D05,TRUE,0.77
Naive MLR,10,Large,D07,FALSE,0.06
Naive MLR,10,Large,F03,FALSE,0.04
Naive MLR,10,Large,F04,TRUE,0.14
Naive MLR,10,Large,F05,FALSE,0.03
Naive MLR,10,Large,F08,FALSE,0.06
Naive MLR,10,Large,HXC,FALSE,0.03
Naive MLR,10,Large,PCB,TRUE,0.29
Naive MLR,10,Small,074,TRUE,0.15
Naive MLR,10,Small,099,FALSE,0.04
Naive MLR,10,Small,118,FALSE,0.05
Naive MLR,10,Small,138,FALSE,0.03
Naive MLR,10,Small,153,FALSE,0.06
Naive MLR,10,Small,170,FALSE,0.03
Naive MLR,10,Small,180,FALSE,0.06
Naive MLR,10,Small,187,FALSE,0.05
Naive MLR,10,Small,194,TRUE,0.23
Naive MLR,10,Small,D03,FALSE,0.07
Naive MLR,10,Small,D05,TRUE,0.25
Naive MLR,10,Small,D07,FALSE,0.09
Naive MLR,10,Small,F03,FALSE,0.03
Naive MLR,10,Small,F04,TRUE,0.04
Naive MLR,10,Small,F05,FALSE,0.04
Naive MLR,10,Small,F08,FALSE,0.06
Naive MLR,10,Small,HXC,FALSE,0.04
Naive MLR,10,Small,PCB,TRUE,0.1
Naive MLR,11,Large,074,TRUE,0.49
Naive MLR,11,Large,099,FALSE,0.07
Naive MLR,11,Large,118,FALSE,0.06
Naive MLR,11,Large,138,FALSE,0.03
Naive MLR,11,Large,153,FALSE,0.05
Naive MLR,11,Large,170,FALSE,0.09
Naive MLR,11,Large,180,FALSE,0.06
Naive MLR,11,Large,187,FALSE,0.04
Naive MLR,11,Large,194,TRUE,0.81
Naive MLR,11,Large,D03,FALSE,0.04
Naive MLR,11,Large,D05,TRUE,0.63
Naive MLR,11,Large,D07,FALSE,0.04
Naive MLR,11,Large,F03,FALSE,0.05
Naive MLR,11,Large,F04,TRUE,0.09
Naive MLR,11,Large,F05,FALSE,0.06
Naive MLR,11,Large,F08,FALSE,0.02
Naive MLR,11,Large,HXC,FALSE,0.05
Naive MLR,11,Large,PCB,TRUE,0.15
Naive MLR,11,Small,074,TRUE,0.13
Naive MLR,11,Small,099,FALSE,0.04
Naive MLR,11,Small,118,FALSE,0.04
Naive MLR,11,Small,138,FALSE,0.06
Naive MLR,11,Small,153,FALSE,0.04
Naive MLR,11,Small,170,FALSE,0.01
Naive MLR,11,Small,180,FALSE,0.04
Naive MLR,11,Small,187,FALSE,0.05
Naive MLR,11,Small,194,TRUE,0.23
Naive MLR,11,Small,D03,FALSE,0.08
Naive MLR,11,Small,D05,TRUE,0.19
Naive MLR,11,Small,D07,FALSE,0.05
Naive MLR,11,Small,F03,FALSE,0.07
Naive MLR,11,Small,F04,TRUE,0.02
Naive MLR,11,Small,F05,FALSE,0.03
Naive MLR,11,Small,F08,FALSE,0.07
Naive MLR,11,Small,HXC,FALSE,0.09
Naive MLR,11,Small,PCB,TRUE,0.11
Naive MLR,12,Large,074,TRUE,0.75
Naive MLR,12,Large,099,FALSE,0.05
Naive MLR,12,Large,118,FALSE,0.06
Naive MLR,12,Large,138,FALSE,0.09
