variable,PIP,trial,df,case
Sb,0.0248,85,3,1
Sn,0.04432,85,3,1
As,0.05856,86,2,1
Cd,0.12016,86,2,1
Co,0.04016,86,2,1
Hg,0.08112,86,2,1
Ni,0.59056,86,2,1
Tl,0.05568,86,2,1
Pb,0.03968,86,2,1
Mo,0.07472,86,2,1
Sb,0.9968,86,2,1
Sn,0.19472,86,2,1
As,0.0664,87,3,1
Cd,0.0152,87,3,1
Co,0.52,87,3,1
Hg,0.61904,87,3,1
Ni,0.9688,87,3,1
Tl,0.048,87,3,1
Pb,0.03664,87,3,1
Mo,0.1752,87,3,1
Sb,0.99888,87,3,1
Sn,0.05808,87,3,1
As,0.02432,88,4,1
Cd,0.1456,88,4,1
Co,0.0144,88,4,1
Hg,0.9248,88,4,1
Ni,0.9928,88,4,1
Tl,0.01344,88,4,1
Pb,0.01216,88,4,1
Mo,0.0096,88,4,1
Sb,0.84048,88,4,1
Sn,0.0224,88,4,1
As,0.02592,89,2,1
Cd,0.03152,89,2,1
Co,0.08032,89,2,1
Hg,0.72016,89,2,1
Ni,0.88576,89,2,1
Tl,0.9584,89,2,1
Pb,0.02384,89,2,1
Mo,0.0392,89,2,1
Sb,0.31472,89,2,1
Sn,0.03376,89,2,1
As,0.09168,8,2,1
Cd,0.49424,8,2,1
Co,0.13584,8,2,1
Hg,0.85568,8,2,1
Ni,0.9856,8,2,1
Tl,0.05232,8,2,1
Pb,0.20544,8,2,1
Mo,0.03856,8,2,1
Sb,0.94144,8,2,1
Sn,0.26112,8,2,1
As,0.01952,90,2,1
Cd,0.0456,90,2,1
Co,0.03232,90,2,1
Hg,0.28112,90,2,1
Ni,0.06848,90,2,1
Tl,0.0128,90,2,1
Pb,0.03168,90,2,1
Mo,0.09152,90,2,1
Sb,0.83376,90,2,1
Sn,0.02384,90,2,1
As,0.0944,91,2,1
Cd,0.01728,91,2,1
Co,0.02448,91,2,1
Hg,0.99408,91,2,1
Ni,0.9792,91,2,1
Tl,0.03456,91,2,1
Pb,0.05808,91,2,1
Mo,0.02896,91,2,1
Sb,1,91,2,1
Sn,0.02032,91,2,1
As,0.01904,92,2,1
Cd,0.04288,92,2,1
Co,0.0352,92,2,1
Hg,0.82512,92,2,1
Ni,0.99232,92,2,1
Tl,0.03264,92,2,1
Pb,0.02416,92,2,1
Mo,0.02912,92,2,1
Sb,0.072,92,2,1
Sn,0.29136,92,2,1
As,0.08864,93,4,1
Cd,0.084,93,4,1
Co,0.08416,93,4,1
Hg,0.83184,93,4,1
Ni,0.93856,93,4,1
Tl,0.0216,93,4,1
Pb,0.03136,93,4,1
Mo,0.09488,93,4,1
Sb,0.99296,93,4,1
Sn,0.11312,93,4,1
As,0.0264,94,3,1
Cd,0.01664,94,3,1
Co,0.09808,94,3,1
Hg,0.40112,94,3,1
Ni,0.9824,94,3,1
Tl,0.0912,94,3,1
Pb,0.2704,94,3,1
Mo,0.0432,94,3,1
Sb,0.99632,94,3,1
Sn,0.19504,94,3,1
As,0.1824,95,3,1
Cd,0.4896,95,3,1
Co,0.35888,95,3,1
Hg,0.39712,95,3,1
Ni,0.15968,95,3,1
Tl,0.03456,95,3,1
Pb,0.1112,95,3,1
Mo,0.01856,95,3,1
Sb,0.99984,95,3,1
Sn,0.03072,95,3,1
As,0.02576,96,4,1
Cd,0.00672,96,4,1
