Var1,Var2,PIP,trial,df,case
7,8,0,18,2,1
1,9,0.0024,18,2,1
2,9,6.399999999999999e-4,18,2,1
3,9,6.399999999999999e-4,18,2,1
4,9,0.03392,18,2,1
5,9,0.01936,18,2,1
6,9,0.0016,18,2,1
7,9,0.00672,18,2,1
8,9,0.0016,18,2,1
1,10,6.399999999999999e-4,18,2,1
2,10,3.2e-4,18,2,1
3,10,0.00176,18,2,1
4,10,0.00336,18,2,1
5,10,0.00544,18,2,1
6,10,4.8e-4,18,2,1
7,10,0.01584,18,2,1
8,10,4.8e-4,18,2,1
9,10,0.01792,18,2,1
1,2,0,19,3,1
1,3,0,19,3,1
2,3,0,19,3,1
1,4,1.6e-4,19,3,1
2,4,0,19,3,1
3,4,0,19,3,1
1,5,0.0048,19,3,1
2,5,1.5999999999999999e-4,19,3,1
3,5,9.6e-4,19,3,1
4,5,6.399999999999999e-4,19,3,1
1,6,1.6e-4,19,3,1
2,6,0,19,3,1
3,6,0,19,3,1
4,6,4.8e-4,19,3,1
5,6,1.5999999999999999e-4,19,3,1
1,7,4.8e-4,19,3,1
2,7,0,19,3,1
3,7,1.6e-4,19,3,1
4,7,0,19,3,1
5,7,0.00656,19,3,1
6,7,0,19,3,1
1,8,1.6e-4,19,3,1
2,8,0,19,3,1
3,8,0.0016,19,3,1
4,8,0,19,3,1
5,8,0.07072,19,3,1
6,8,0.0012799999999999999,19,3,1
7,8,4.8e-4,19,3,1
1,9,0,19,3,1
2,9,0,19,3,1
3,9,0.01216,19,3,1
4,9,4.8e-4,19,3,1
5,9,0.0264,19,3,1
6,9,1.5999999999999999e-4,19,3,1
7,9,0,19,3,1
8,9,0.00176,19,3,1
1,10,0,19,3,1
2,10,0,19,3,1
3,10,0,19,3,1
4,10,0,19,3,1
5,10,0.01424,19,3,1
6,10,0,19,3,1
7,10,0,19,3,1
8,10,6.399999999999999e-4,19,3,1
9,10,0,19,3,1
1,2,0,1,2,1
1,3,0,1,2,1
2,3,0.01104,1,2,1
1,4,0,1,2,1
2,4,0,1,2,1
3,4,0,1,2,1
1,5,0,1,2,1
2,5,6.399999999999999e-4,1,2,1
3,5,0.00128,1,2,1
4,5,1.5999999999999999e-4,1,2,1
1,6,0,1,2,1
2,6,8e-4,1,2,1
3,6,8e-4,1,2,1
4,6,0,1,2,1
5,6,0.00144,1,2,1
1,7,0,1,2,1
2,7,9.6e-4,1,2,1
3,7,0.01312,1,2,1
4,7,3.1999999999999997e-4,1,2,1
5,7,0.09664,1,2,1
6,7,3.2e-4,1,2,1
1,8,0,1,2,1
2,8,0,1,2,1
3,8,3.1999999999999997e-4,1,2,1
4,8,1.6e-4,1,2,1
5,8,0,1,2,1
6,8,0,1,2,1
7,8,0,1,2,1
1,9,4.8e-4,1,2,1
2,9,0.00336,1,2,1
3,9,0.00864,1,2,1
4,9,0.0016,1,2,1
5,9,0.00256,1,2,1
