variable,PIP,race,trial,case
LBXF04LA,0.51488,3,15,1
LBXF05LA,0.39504,3,15,1
LBXF08LA,0.36052,3,15,1
LBX074LA,0.35096,1,16,1
LBX099LA,0.2858,1,16,1
LBX138LA,0.36968,1,16,1
LBX153LA,0.43936,1,16,1
LBX170LA,0.4954,1,16,1
LBX180LA,0.3246,1,16,1
LBX187LA,0.29052,1,16,1
LBX194LA,0.46292,1,16,1
LBXPCBLA,0.29208,1,16,1
LBXHXCLA,0.23276,1,16,1
LBX118LA,0.26316,1,16,1
LBXD03LA,0.30952,1,16,1
LBXD05LA,0.18492,1,16,1
LBXD07LA,0.2712,1,16,1
LBXF03LA,0.37848,1,16,1
LBXF04LA,0.21036,1,16,1
LBXF05LA,0.333,1,16,1
LBXF08LA,0.41292,1,16,1
LBX074LA,0.46668,2,16,1
LBX099LA,0.5582,2,16,1
LBX138LA,0.4848,2,16,1
LBX153LA,0.59004,2,16,1
LBX170LA,0.73032,2,16,1
LBX180LA,0.58516,2,16,1
LBX187LA,0.69204,2,16,1
LBX194LA,0.60272,2,16,1
LBXPCBLA,0.46788,2,16,1
LBXHXCLA,0.49508,2,16,1
LBX118LA,0.50584,2,16,1
LBXD03LA,0.50768,2,16,1
LBXD05LA,0.91948,2,16,1
LBXD07LA,0.51448,2,16,1
LBXF03LA,0.4644,2,16,1
LBXF04LA,0.62692,2,16,1
LBXF05LA,0.6208,2,16,1
LBXF08LA,0.57868,2,16,1
LBX074LA,0.4068,3,16,1
LBX099LA,0.37312,3,16,1
LBX138LA,0.291,3,16,1
LBX153LA,0.33884,3,16,1
LBX170LA,0.37316,3,16,1
LBX180LA,0.33288,3,16,1
LBX187LA,0.39588,3,16,1
LBX194LA,0.31032,3,16,1
LBXPCBLA,0.42252,3,16,1
LBXHXCLA,0.27504,3,16,1
LBX118LA,0.31804,3,16,1
LBXD03LA,0.4078,3,16,1
LBXD05LA,0.78924,3,16,1
LBXD07LA,0.4538,3,16,1
LBXF03LA,0.64132,3,16,1
LBXF04LA,0.5326,3,16,1
LBXF05LA,0.56476,3,16,1
LBXF08LA,0.40792,3,16,1
LBX074LA,0.88704,1,17,1
LBX099LA,0.15952,1,17,1
LBX138LA,0.14544,1,17,1
LBX153LA,0.20684,1,17,1
LBX170LA,0.14408,1,17,1
LBX180LA,0.16732,1,17,1
LBX187LA,0.20064,1,17,1
LBX194LA,0.184,1,17,1
LBXPCBLA,0.09056,1,17,1
LBXHXCLA,0.14488,1,17,1
LBX118LA,0.15772,1,17,1
LBXD03LA,0.2402,1,17,1
LBXD05LA,0.1446,1,17,1
LBXD07LA,0.11476,1,17,1
LBXF03LA,0.11,1,17,1
LBXF04LA,0.10396,1,17,1
LBXF05LA,0.16236,1,17,1
LBXF08LA,0.08184,1,17,1
LBX074LA,0.53548,2,17,1
LBX099LA,0.47252,2,17,1
LBX138LA,0.61616,2,17,1
LBX153LA,0.56888,2,17,1
LBX170LA,0.64588,2,17,1
LBX180LA,0.53492,2,17,1
LBX187LA,0.56336,2,17,1
LBX194LA,0.98536,2,17,1
LBXPCBLA,0.87784,2,17,1
LBXHXCLA,0.67856,2,17,1
LBX118LA,0.85648,2,17,1
LBXD03LA,0.57924,2,17,1
LBXD05LA,0.84108,2,17,1
LBXD07LA,0.42764,2,17,1
LBXF03LA,0.4486,2,17,1
LBXF04LA,0.86384,2,17,1
