variable,PIP,df,race,trial,case
LBX194LA,0.08368,1,1,13,1
LBXPCBLA,0.06384,1,1,13,1
LBXHXCLA,0.06784,1,1,13,1
LBX118LA,0.17808,1,1,13,1
LBXD03LA,0.10848,1,1,13,1
LBXD05LA,0.42144,1,1,13,1
LBXD07LA,0.50144,1,1,13,1
LBXF03LA,0.05376,1,1,13,1
LBXF04LA,0.32992,1,1,13,1
LBXF05LA,0.0768,1,1,13,1
LBXF08LA,0.04544,1,1,13,1
LBX074LA,0.94112,4,2,13,1
LBX099LA,0.03952,4,2,13,1
LBX138LA,0.05744,4,2,13,1
LBX153LA,0.06,4,2,13,1
LBX170LA,0.04096,4,2,13,1
LBX180LA,0.12928,4,2,13,1
LBX187LA,0.1552,4,2,13,1
LBX194LA,0.04128,4,2,13,1
LBXPCBLA,0.08064,4,2,13,1
LBXHXCLA,0.04656,4,2,13,1
LBX118LA,0.08816,4,2,13,1
LBXD03LA,0.09104,4,2,13,1
LBXD05LA,0.99904,4,2,13,1
LBXD07LA,0.016,4,2,13,1
LBXF03LA,0.03584,4,2,13,1
LBXF04LA,0.32256,4,2,13,1
LBXF05LA,0.05184,4,2,13,1
LBXF08LA,0.01216,4,2,13,1
LBX074LA,0.50144,1,3,13,1
LBX099LA,0.1728,1,3,13,1
LBX138LA,0.22128,1,3,13,1
LBX153LA,0.27296,1,3,13,1
LBX170LA,0.18592,1,3,13,1
LBX180LA,0.21664,1,3,13,1
LBX187LA,0.54496,1,3,13,1
LBX194LA,0.34928,1,3,13,1
LBXPCBLA,0.1224,1,3,13,1
LBXHXCLA,0.12208,1,3,13,1
LBX118LA,0.47136,1,3,13,1
LBXD03LA,0.0912,1,3,13,1
LBXD05LA,0.18144,1,3,13,1
LBXD07LA,0.09696,1,3,13,1
LBXF03LA,0.12672,1,3,13,1
LBXF04LA,0.0808,1,3,13,1
LBXF05LA,0.06752,1,3,13,1
LBXF08LA,0.07936,1,3,13,1
LBX074LA,0.5176,3,1,14,1
LBX099LA,0.20752,3,1,14,1
LBX138LA,0.14176,3,1,14,1
LBX153LA,0.08368,3,1,14,1
LBX170LA,0.116,3,1,14,1
LBX180LA,0.11408,3,1,14,1
LBX187LA,0.35648,3,1,14,1
LBX194LA,0.09168,3,1,14,1
LBXPCBLA,0.60592,3,1,14,1
LBXHXCLA,0.2488,3,1,14,1
LBX118LA,0.10576,3,1,14,1
LBXD03LA,0.06464,3,1,14,1
LBXD05LA,0.0408,3,1,14,1
LBXD07LA,0.04624,3,1,14,1
LBXF03LA,0.424,3,1,14,1
LBXF04LA,0.08848,3,1,14,1
LBXF05LA,0.35072,3,1,14,1
LBXF08LA,0.04336,3,1,14,1
LBX074LA,0.8504,2,2,14,1
LBX099LA,0.08528,2,2,14,1
LBX138LA,0.03936,2,2,14,1
LBX153LA,0.06912,2,2,14,1
LBX170LA,0.05856,2,2,14,1
LBX180LA,0.05376,2,2,14,1
LBX187LA,0.05024,2,2,14,1
LBX194LA,0.03232,2,2,14,1
LBXPCBLA,0.07504,2,2,14,1
LBXHXCLA,0.07888,2,2,14,1
LBX118LA,0.18496,2,2,14,1
LBXD03LA,0.10656,2,2,14,1
LBXD05LA,0.10544,2,2,14,1
LBXD07LA,0.07168,2,2,14,1
LBXF03LA,0.01696,2,2,14,1
LBXF04LA,0.97744,2,2,14,1
LBXF05LA,0.03072,2,2,14,1
LBXF08LA,0.01808,2,2,14,1
LBX074LA,0.32384,1,3,14,1
LBX099LA,0.212,1,3,14,1
LBX138LA,0.46704,1,3,14,1
LBX153LA,0.20976,1,3,14,1
LBX170LA,0.21952,1,3,14,1
LBX180LA,0.65152,1,3,14,1
LBX187LA,0.21072,1,3,14,1
LBX194LA,0.28896,1,3,14,1
LBXPCBLA,0.20976,1,3,14,1
LBXHXCLA,0.09376,1,3,14,1
LBX118LA,0.16768,1,3,14,1
LBXD03LA,0.09872,1,3,14,1
LBXD05LA,0.11024,1,3,14,1
LBXD07LA,0.34752,1,3,14,1
LBXF03LA,0.08016,1,3,14,1
LBXF04LA,0.39264,1,3,14,1
LBXF05LA,0.14064,1,3,14,1
LBXF08LA,0.05552,1,3,14,1
LBX074LA,0.07008,2,1,15,1
LBX099LA,0.09536,2,1,15,1
LBX138LA,0.1888,2,1,15,1
LBX153LA,0.15104,2,1,15,1
LBX170LA,0.41712,2,1,15,1
LBX180LA,0.42032,2,1,15,1
LBX187LA,0.18048,2,1,15,1
LBX194LA,0.19984,2,1,15,1
LBXPCBLA,0.89104,2,1,15,1
LBXHXCLA,0.16464,2,1,15,1
LBX118LA,0.25824,2,1,15,1
LBXD03LA,0.09936,2,1,15,1
LBXD05LA,0.27184,2,1,15,1
LBXD07LA,0.05744,2,1,15,1
LBXF03LA,0.0848,2,1,15,1
LBXF04LA,0.6856,2,1,15,1
LBXF05LA,0.16272,2,1,15,1
LBXF08LA,0.0432,2,1,15,1
LBX074LA,0.09664,4,2,15,1
LBX099LA,0.05968,4,2,15,1
LBX138LA,0.09008,4,2,15,1
LBX153LA,0.10336,4,2,15,1
LBX170LA,0.37328,4,2,15,1
LBX180LA,0.13392,4,2,15,1
LBX187LA,0.2152,4,2,15,1
LBX194LA,0.2576,4,2,15,1
LBXPCBLA,0.04624,4,2,15,1
LBXHXCLA,0.16592,4,2,15,1
LBX118LA,0.04608,4,2,15,1
LBXD03LA,0.10416,4,2,15,1
LBXD05LA,0.44432,4,2,15,1
LBXD07LA,0.03504,4,2,15,1
LBXF03LA,0.04672,4,2,15,1
LBXF04LA,1,4,2,15,1
LBXF05LA,0.0808,4,2,15,1
LBXF08LA,0.05056,4,2,15,1
LBX074LA,0.04192,4,3,15,1
LBX099LA,0.25152,4,3,15,1
LBX138LA,0.15472,4,3,15,1
LBX153LA,0.09184,4,3,15,1
LBX170LA,0.1312,4,3,15,1
LBX180LA,0.11184,4,3,15,1
LBX187LA,0.24,4,3,15,1
LBX194LA,0.5592,4,3,15,1
LBXPCBLA,0.06944,4,3,15,1
LBXHXCLA,0.464,4,3,15,1
LBX118LA,0.05488,4,3,15,1
LBXD03LA,0.0928,4,3,15,1
LBXD05LA,0.99344,4,3,15,1
LBXD07LA,0.6176,4,3,15,1
LBXF03LA,0.05968,4,3,15,1
LBXF04LA,0.29968,4,3,15,1
LBXF05LA,0.24672,4,3,15,1
LBXF08LA,0.30704,4,3,15,1
LBX074LA,0.11456,1,1,16,1
LBX099LA,0.06496,1,1,16,1
LBX138LA,0.2256,1,1,16,1
LBX153LA,0.32352,1,1,16,1
LBX170LA,0.47904,1,1,16,1
LBX180LA,0.16752,1,1,16,1
LBX187LA,0.15504,1,1,16,1
LBX194LA,0.19072,1,1,16,1
LBXPCBLA,0.08368,1,1,16,1
LBXHXCLA,0.06912,1,1,16,1
LBX118LA,0.08016,1,1,16,1
LBXD03LA,0.10336,1,1,16,1
LBXD05LA,0.04688,1,1,16,1
LBXD07LA,0.05872,1,1,16,1
LBXF03LA,0.26064,1,1,16,1
LBXF04LA,0.07408,1,1,16,1
LBXF05LA,0.15056,1,1,16,1
LBXF08LA,0.12112,1,1,16,1
LBX074LA,0.35264,2,2,16,1
LBX099LA,0.24672,2,2,16,1
LBX138LA,0.19728,2,2,16,1
LBX153LA,0.29824,2,2,16,1
LBX170LA,0.48,2,2,16,1
LBX180LA,0.45328,2,2,16,1
LBX187LA,0.6208,2,2,16,1
LBX194LA,0.68752,2,2,16,1
LBXPCBLA,0.19408,2,2,16,1
LBXHXCLA,0.33584,2,2,16,1
LBX118LA,0.3376,2,2,16,1
LBXD03LA,0.1576,2,2,16,1
LBXD05LA,0.98352,2,2,16,1
LBXD07LA,0.31216,2,2,16,1
LBXF03LA,0.14448,2,2,16,1
LBXF04LA,0.73728,2,2,16,1
LBXF05LA,0.224,2,2,16,1
LBXF08LA,0.23232,2,2,16,1
LBX074LA,0.16576,3,3,16,1
LBX099LA,0.51776,3,3,16,1
LBX138LA,0.0848,3,3,16,1
LBX153LA,0.11584,3,3,16,1
LBX170LA,0.1024,3,3,16,1
LBX180LA,0.07776,3,3,16,1
LBX187LA,0.1304,3,3,16,1
LBX194LA,0.22848,3,3,16,1
LBXPCBLA,0.14432,3,3,16,1
LBXHXCLA,0.10736,3,3,16,1
LBX118LA,0.0856,3,3,16,1
LBXD03LA,0.07408,3,3,16,1
LBXD05LA,0.732,3,3,16,1
LBXD07LA,0.39664,3,3,16,1
LBXF03LA,0.33664,3,3,16,1
LBXF04LA,0.55952,3,3,16,1
LBXF05LA,0.30016,3,3,16,1
LBXF08LA,0.08144,3,3,16,1
LBX074LA,0.932,1,1,17,1
LBX099LA,0.09456,1,1,17,1
LBX138LA,0.08496,1,1,17,1
LBX153LA,0.09312,1,1,17,1
LBX170LA,0.09888,1,1,17,1
LBX180LA,0.08864,1,1,17,1
LBX187LA,0.108,1,1,17,1
LBX194LA,0.0968,1,1,17,1
LBXPCBLA,0.05328,1,1,17,1
LBXHXCLA,0.07696,1,1,17,1
LBX118LA,0.10832,1,1,17,1
LBXD03LA,0.16624,1,1,17,1
LBXD05LA,0.05088,1,1,17,1
LBXD07LA,0.05344,1,1,17,1
LBXF03LA,0.0472,1,1,17,1
LBXF04LA,0.05312,1,1,17,1
LBXF05LA,0.05264,1,1,17,1
LBXF08LA,0.03872,1,1,17,1
LBX074LA,0.09776,3,2,17,1
LBX099LA,0.11616,3,2,17,1
LBX138LA,0.44896,3,2,17,1
LBX153LA,0.15504,3,2,17,1
LBX170LA,0.62384,3,2,17,1
LBX180LA,0.19488,3,2,17,1
LBX187LA,0.1008,3,2,17,1
LBX194LA,0.74176,3,2,17,1
LBXPCBLA,0.77664,3,2,17,1
LBXHXCLA,0.5616,3,2,17,1
LBX118LA,0.4968,3,2,17,1
LBXD03LA,0.05168,3,2,17,1
LBXD05LA,0.8416,3,2,17,1
LBXD07LA,0.06864,3,2,17,1
LBXF03LA,0.028,3,2,17,1
LBXF04LA,0.9688,3,2,17,1
LBXF05LA,0.06416,3,2,17,1
LBXF08LA,0.37152,3,2,17,1
LBX074LA,0.6176,2,3,17,1
LBX099LA,0.82992,2,3,17,1
LBX138LA,0.2208,2,3,17,1
LBX153LA,0.24768,2,3,17,1
LBX170LA,0.36448,2,3,17,1
LBX180LA,0.29856,2,3,17,1
LBX187LA,0.18192,2,3,17,1
LBX194LA,0.152,2,3,17,1
LBXPCBLA,0.18528,2,3,17,1
LBXHXCLA,0.17424,2,3,17,1
LBX118LA,0.27328,2,3,17,1
LBXD03LA,0.54816,2,3,17,1
LBXD05LA,0.93776,2,3,17,1
LBXD07LA,0.16576,2,3,17,1
LBXF03LA,0.17888,2,3,17,1
LBXF04LA,0.76544,2,3,17,1
LBXF05LA,0.14912,2,3,17,1
LBXF08LA,0.13616,2,3,17,1
LBX074LA,0.19632,2,1,18,1
LBX099LA,0.16976,2,1,18,1
LBX138LA,0.16208,2,1,18,1
LBX153LA,0.3216,2,1,18,1
LBX170LA,0.32032,2,1,18,1
LBX180LA,0.32992,2,1,18,1
LBX187LA,0.61008,2,1,18,1
LBX194LA,0.39856,2,1,18,1
LBXPCBLA,0.144,2,1,18,1
LBXHXCLA,0.19744,2,1,18,1
LBX118LA,0.11824,2,1,18,1
LBXD03LA,0.116,2,1,18,1
LBXD05LA,0.09072,2,1,18,1
LBXD07LA,0.08768,2,1,18,1
LBXF03LA,0.08544,2,1,18,1
LBXF04LA,0.8232,2,1,18,1
LBXF05LA,0.17712,2,1,18,1
LBXF08LA,0.09056,2,1,18,1
LBX074LA,0.7416,2,2,18,1
LBX099LA,0.55696,2,2,18,1
LBX138LA,0.1432,2,2,18,1
LBX153LA,0.13264,2,2,18,1
LBX170LA,0.22272,2,2,18,1
LBX180LA,0.25936,2,2,18,1
LBX187LA,0.1496,2,2,18,1
LBX194LA,0.34944,2,2,18,1
LBXPCBLA,0.4976,2,2,18,1
LBXHXCLA,0.1592,2,2,18,1
LBX118LA,0.49184,2,2,18,1
