variable,PIP,race,trial,case
LBX194LA,0.38956,1,2,1
LBXPCBLA,0.37856,1,2,1
LBXHXCLA,0.3884,1,2,1
LBX118LA,0.40776,1,2,1
LBXD03LA,0.41004,1,2,1
LBXD05LA,0.39472,1,2,1
LBXD07LA,0.39124,1,2,1
LBXF03LA,0.4238,1,2,1
LBXF04LA,0.45416,1,2,1
LBXF05LA,0.38544,1,2,1
LBXF08LA,0.38112,1,2,1
LBX074LA,0.27208,2,2,1
LBX099LA,0.22488,2,2,1
LBX138LA,0.23548,2,2,1
LBX153LA,0.23236,2,2,1
LBX170LA,0.20296,2,2,1
LBX180LA,0.23248,2,2,1
LBX187LA,0.19568,2,2,1
LBX194LA,0.21132,2,2,1
LBXPCBLA,0.1854,2,2,1
LBXHXCLA,0.21712,2,2,1
LBX118LA,0.19756,2,2,1
LBXD03LA,0.21848,2,2,1
LBXD05LA,0.21816,2,2,1
LBXD07LA,0.19964,2,2,1
LBXF03LA,0.20408,2,2,1
LBXF04LA,0.21332,2,2,1
LBXF05LA,0.27388,2,2,1
LBXF08LA,0.23668,2,2,1
LBX074LA,0.56348,3,2,1
LBX099LA,0.51248,3,2,1
LBX138LA,0.53244,3,2,1
LBX153LA,0.54124,3,2,1
LBX170LA,0.50288,3,2,1
LBX180LA,0.5052,3,2,1
LBX187LA,0.50176,3,2,1
LBX194LA,0.47968,3,2,1
LBXPCBLA,0.49172,3,2,1
LBXHXCLA,0.58312,3,2,1
LBX118LA,0.54912,3,2,1
LBXD03LA,0.55556,3,2,1
LBXD05LA,0.49416,3,2,1
LBXD07LA,0.53808,3,2,1
LBXF03LA,0.47572,3,2,1
LBXF04LA,0.4368,3,2,1
LBXF05LA,0.50608,3,2,1
LBXF08LA,0.43944,3,2,1
LBX074LA,0.37724,1,20,1
LBX099LA,0.319,1,20,1
LBX138LA,0.50748,1,20,1
LBX153LA,0.27668,1,20,1
LBX170LA,0.3772,1,20,1
LBX180LA,0.2678,1,20,1
LBX187LA,0.30792,1,20,1
LBX194LA,0.26748,1,20,1
LBXPCBLA,0.31204,1,20,1
LBXHXCLA,0.28648,1,20,1
LBX118LA,0.34736,1,20,1
