variable,PIP,trial,case
LBXF03LA,0.4676,25,1
LBXF04LA,0.63948,25,1
LBXF05LA,0.54364,25,1
LBXF08LA,0.29088,25,1
LBX074LA,0.27164,26,1
LBX099LA,0.27612,26,1
LBX138LA,0.39336,26,1
LBX153LA,0.45144,26,1
LBX170LA,0.3874,26,1
LBX180LA,0.29676,26,1
LBX187LA,0.69252,26,1
LBX194LA,0.34424,26,1
LBXPCBLA,0.40116,26,1
LBXHXCLA,0.22756,26,1
LBX118LA,0.28708,26,1
LBXD03LA,0.34232,26,1
LBXD05LA,0.25856,26,1
LBXD07LA,0.2608,26,1
LBXF03LA,0.29524,26,1
LBXF04LA,0.72536,26,1
LBXF05LA,0.27016,26,1
LBXF08LA,0.51304,26,1
LBX074LA,0.88588,27,1
LBX099LA,0.13892,27,1
LBX138LA,0.12688,27,1
LBX153LA,0.13856,27,1
LBX170LA,0.19,27,1
LBX180LA,0.14592,27,1
LBX187LA,0.15536,27,1
LBX194LA,0.49672,27,1
LBXPCBLA,0.081,27,1
LBXHXCLA,0.11824,27,1
LBX118LA,0.14916,27,1
LBXD03LA,0.12652,27,1
LBXD05LA,0.13932,27,1
LBXD07LA,0.12556,27,1
LBXF03LA,0.14964,27,1
LBXF04LA,0.18608,27,1
LBXF05LA,0.39616,27,1
LBXF08LA,0.05684,27,1
LBX074LA,0.67472,28,1
LBX099LA,0.30768,28,1
LBX138LA,0.28268,28,1
LBX153LA,0.31256,28,1
LBX170LA,0.2864,28,1
LBX180LA,0.27036,28,1
LBX187LA,0.29364,28,1
LBX194LA,0.40772,28,1
LBXPCBLA,0.18832,28,1
LBXHXCLA,0.45548,28,1
LBX118LA,0.458,28,1
LBXD03LA,0.30804,28,1
LBXD05LA,0.98156,28,1
LBXD07LA,0.24132,28,1
LBXF03LA,0.36416,28,1
LBXF04LA,0.263,28,1
LBXF05LA,0.27592,28,1
LBXF08LA,0.44144,28,1
LBX074LA,0.711,29,1
LBX099LA,0.25488,29,1
LBX138LA,0.25812,29,1
LBX153LA,0.26384,29,1
LBX170LA,0.2534,29,1
LBX180LA,0.22416,29,1
LBX187LA,0.28772,29,1
LBX194LA,0.29088,29,1
LBXPCBLA,0.31256,29,1
LBXHXCLA,0.22268,29,1
LBX118LA,0.40872000000000003,29,1
LBXD03LA,0.3014,29,1
LBXD05LA,0.6064,29,1
LBXD07LA,0.22456,29,1
LBXF03LA,0.22688,29,1
LBXF04LA,0.38664,29,1
LBXF05LA,0.47948,29,1
LBXF08LA,0.24608,29,1
LBX074LA,0.36408,3,1
LBX099LA,0.27924,3,1
LBX138LA,0.3044,3,1
LBX153LA,0.2762,3,1
LBX170LA,0.3758,3,1
LBX180LA,0.25148,3,1
LBX187LA,0.2428,3,1
LBX194LA,0.23084,3,1
LBXPCBLA,0.9054,3,1
LBXHXCLA,0.31288,3,1
LBX118LA,0.2554,3,1
LBXD03LA,0.27572,3,1
LBXD05LA,0.39648,3,1
LBXD07LA,0.25284,3,1
LBXF03LA,0.33688,3,1
LBXF04LA,0.4514,3,1
LBXF05LA,0.24868,3,1
LBXF08LA,0.23316,3,1
LBX074LA,0.7424,30,1
LBX099LA,0.36284,30,1
LBX138LA,0.40448,30,1
LBX153LA,0.48232,30,1
LBX170LA,0.41984,30,1
LBX180LA,0.37932,30,1
LBX187LA,0.3984,30,1
LBX194LA,0.77748,30,1
LBXPCBLA,0.48552,30,1
LBXHXCLA,0.38116,30,1
LBX118LA,0.48388,30,1
LBXD03LA,0.33288,30,1
LBXD05LA,0.3312,30,1
LBXD07LA,0.30856,30,1
LBXF03LA,0.28616,30,1
LBXF04LA,0.39484,30,1
LBXF05LA,0.3422,30,1
LBXF08LA,0.50228,30,1
LBX074LA,0.32832,31,1
LBX099LA,0.39424,31,1
LBX138LA,0.38352,31,1
LBX153LA,0.41124,31,1
LBX170LA,0.41948,31,1
LBX180LA,0.35976,31,1
LBX187LA,0.91484,31,1
LBX194LA,0.54788,31,1
LBXPCBLA,0.27356,31,1
LBXHXCLA,0.6396,31,1
LBX118LA,0.24976,31,1
LBXD03LA,0.53696,31,1
LBXD05LA,0.4372,31,1
LBXD07LA,0.38288,31,1
LBXF03LA,0.52988,31,1
LBXF04LA,0.54464,31,1
LBXF05LA,0.40524,31,1
LBXF08LA,0.26492,31,1
LBX074LA,0.58228,32,1
LBX099LA,0.50696,32,1
LBX138LA,0.49208,32,1
LBX153LA,0.48252,32,1
LBX170LA,0.46988,32,1
LBX180LA,0.43996,32,1
LBX187LA,0.52868,32,1
LBX194LA,0.47736,32,1
LBXPCBLA,0.53292,32,1
LBXHXCLA,0.42456,32,1
LBX118LA,0.51572,32,1
LBXD03LA,0.44132,32,1
LBXD05LA,0.50624,32,1
LBXD07LA,0.41428,32,1
LBXF03LA,0.57104,32,1
LBXF04LA,0.5056,32,1
LBXF05LA,0.46532,32,1
LBXF08LA,0.42044,32,1
LBX074LA,0.42924,33,1
LBX099LA,0.13596,33,1
LBX138LA,0.14688,33,1
LBX153LA,0.14704,33,1
LBX170LA,0.17196,33,1
LBX180LA,0.16012,33,1
LBX187LA,0.16548,33,1
LBX194LA,0.19384,33,1
LBXPCBLA,0.22384,33,1
LBXHXCLA,0.16104,33,1
LBX118LA,0.46696,33,1
LBXD03LA,0.15384,33,1
LBXD05LA,0.27552,33,1
LBXD07LA,0.25144,33,1
LBXF03LA,0.1134,33,1
LBXF04LA,0.65892,33,1
LBXF05LA,0.16544,33,1
LBXF08LA,0.09616,33,1
LBX074LA,0.36572,34,1
LBX099LA,0.42556,34,1
LBX138LA,0.36332,34,1
LBX153LA,0.42632,34,1
LBX170LA,0.54044,34,1
LBX180LA,0.4138,34,1
LBX187LA,0.3132,34,1
LBX194LA,0.38284,34,1
LBXPCBLA,0.66224,34,1
LBXHXCLA,0.38248,34,1
LBX118LA,0.3152,34,1
LBXD03LA,0.49188,34,1
LBXD05LA,0.66344,34,1
LBXD07LA,0.40732,34,1
LBXF03LA,0.29328,34,1
LBXF04LA,0.3318,34,1
LBXF05LA,0.34416,34,1
LBXF08LA,0.28024,34,1
LBX074LA,0.44524,35,1
LBX099LA,0.42512,35,1
LBX138LA,0.52756,35,1
LBX153LA,0.45984,35,1
LBX170LA,0.43728,35,1
LBX180LA,0.4802,35,1
LBX187LA,0.43416,35,1
LBX194LA,0.66456,35,1
LBXPCBLA,0.4508,35,1
LBXHXCLA,0.53728,35,1
LBX118LA,0.43628,35,1
LBXD03LA,0.47928,35,1
LBXD05LA,0.74572,35,1
LBXD07LA,0.70864,35,1
LBXF03LA,0.6326,35,1
LBXF04LA,0.46452,35,1
LBXF05LA,0.37532,35,1
LBXF08LA,0.48732,35,1
LBX074LA,0.60312,36,1
LBX099LA,0.1616,36,1
LBX138LA,0.2182,36,1
LBX153LA,0.19536,36,1
LBX170LA,0.16792,36,1
LBX180LA,0.17792,36,1
LBX187LA,0.19016,36,1
LBX194LA,0.1768,36,1
LBXPCBLA,0.33904,36,1
LBXHXCLA,0.27204,36,1
LBX118LA,0.34256,36,1
LBXD03LA,0.14916,36,1
LBXD05LA,0.11168,36,1
LBXD07LA,0.13688,36,1
LBXF03LA,0.45496,36,1
LBXF04LA,0.17224,36,1
LBXF05LA,0.16952,36,1
LBXF08LA,0.1022,36,1
LBX074LA,0.16976,37,1
LBX099LA,0.11824,37,1
LBX138LA,0.13236,37,1
LBX153LA,0.14488,37,1
LBX170LA,0.15688,37,1
LBX180LA,0.16736,37,1
LBX187LA,0.22144,37,1
LBX194LA,0.13448,37,1
LBXPCBLA,0.1364,37,1
LBXHXCLA,0.21792,37,1
LBX118LA,0.11192,37,1
LBXD03LA,0.15104,37,1
LBXD05LA,0.11384,37,1
LBXD07LA,0.34404,37,1
LBXF03LA,0.11232,37,1
LBXF04LA,0.15524,37,1
LBXF05LA,0.12304,37,1
LBXF08LA,0.10508,37,1
LBX074LA,0.32332,38,1
LBX099LA,0.23212,38,1
LBX138LA,0.29332,38,1
LBX153LA,0.24356,38,1
LBX170LA,0.23544,38,1
LBX180LA,0.27824,38,1
LBX187LA,0.2722,38,1
LBX194LA,0.27652,38,1
LBXPCBLA,0.34956,38,1
LBXHXCLA,0.21704,38,1
LBX118LA,0.39552,38,1
LBXD03LA,0.26828,38,1
LBXD05LA,0.46116,38,1
LBXD07LA,0.27428,38,1
LBXF03LA,0.51684,38,1
LBXF04LA,0.59868,38,1
LBXF05LA,0.2426,38,1
LBXF08LA,0.26768,38,1
LBX074LA,0.46632,39,1
LBX099LA,0.54748,39,1
LBX138LA,0.47672,39,1
LBX153LA,0.49036,39,1
LBX170LA,0.53576,39,1
LBX180LA,0.49752,39,1
LBX187LA,0.512,39,1
LBX194LA,0.60776,39,1
LBXPCBLA,0.68356,39,1
LBXHXCLA,0.45472,39,1
LBX118LA,0.61216,39,1
LBXD03LA,0.48124,39,1
LBXD05LA,0.50948,39,1
LBXD07LA,0.41764,39,1
LBXF03LA,0.45484,39,1
LBXF04LA,0.45104,39,1
LBXF05LA,0.40744,39,1
LBXF08LA,0.42664,39,1
LBX074LA,0.58176,4,1
LBX099LA,0.26348,4,1
LBX138LA,0.21316,4,1
LBX153LA,0.23212,4,1
LBX170LA,0.24932000000000001,4,1
LBX180LA,0.26236,4,1
LBX187LA,0.23312,4,1
LBX194LA,0.24224,4,1
LBXPCBLA,0.24444,4,1
LBXHXCLA,0.29056,4,1
LBX118LA,0.30856,4,1
LBXD03LA,0.54016,4,1
LBXD05LA,0.34556,4,1
LBXD07LA,0.3226,4,1
LBXF03LA,0.56768,4,1
LBXF04LA,0.21936,4,1
LBXF05LA,0.22764,4,1
LBXF08LA,0.18972,4,1
LBX074LA,0.6366,40,1
LBX099LA,0.32556,40,1
LBX138LA,0.4486,40,1
LBX153LA,0.40164,40,1
LBX170LA,0.32792,40,1
LBX180LA,0.39428,40,1
LBX187LA,0.49084,40,1
LBX194LA,0.42996,40,1
LBXPCBLA,0.25816,40,1
LBXHXCLA,0.3534,40,1
LBX118LA,0.5056,40,1
LBXD03LA,0.38152,40,1
LBXD05LA,0.39192,40,1
LBXD07LA,0.28984,40,1
LBXF03LA,0.73084,40,1
LBXF04LA,0.51472,40,1
LBXF05LA,0.37472,40,1
LBXF08LA,0.95968,40,1
LBX074LA,0.32376,41,1
LBX099LA,0.31992,41,1
LBX138LA,0.28324,41,1
LBX153LA,0.31688,41,1
LBX170LA,0.36736,41,1
LBX180LA,0.30828,41,1
LBX187LA,0.36624,41,1
LBX194LA,0.8552,41,1
LBXPCBLA,0.25892,41,1
LBXHXCLA,0.29228,41,1
LBX118LA,0.237,41,1
LBXD03LA,0.33832,41,1
LBXD05LA,0.3342,41,1
LBXD07LA,0.3748,41,1
LBXF03LA,0.30732,41,1
LBXF04LA,0.82096,41,1
LBXF05LA,0.40768,41,1
LBXF08LA,0.37268,41,1
LBX074LA,0.61348,42,1
LBX099LA,0.61272,42,1
LBX138LA,0.5894,42,1
LBX153LA,0.54972,42,1
LBX170LA,0.6082,42,1
LBX180LA,0.5318,42,1
LBX187LA,0.71892,42,1
LBX194LA,0.66716,42,1
LBXPCBLA,0.4894,42,1
LBXHXCLA,0.50356,42,1
LBX118LA,0.50612,42,1
LBXD03LA,0.54448,42,1
LBXD05LA,0.49952,42,1
LBXD07LA,0.5046,42,1
LBXF03LA,0.45904,42,1
LBXF04LA,0.69944,42,1
LBXF05LA,0.83312,42,1
LBXF08LA,0.5422,42,1
LBX074LA,0.17048,43,1
LBX099LA,0.15512,43,1
LBX138LA,0.17192,43,1
LBX153LA,0.17364,43,1
LBX170LA,0.256,43,1
LBX180LA,0.1928,43,1
LBX187LA,0.20836,43,1
LBX194LA,0.18064,43,1
LBXPCBLA,0.25216,43,1
LBXHXCLA,0.16836,43,1
LBX118LA,0.2404,43,1
LBXD03LA,0.13364,43,1
LBXD05LA,0.97048,43,1
LBXD07LA,0.12008,43,1
LBXF03LA,0.15268,43,1
LBXF04LA,0.1694,43,1
LBXF05LA,0.10564,43,1
LBXF08LA,0.09728,43,1
LBX074LA,0.63512,44,1
LBX099LA,0.39524,44,1
LBX138LA,0.52596,44,1
LBX153LA,0.50956,44,1
LBX170LA,0.61172,44,1
LBX180LA,0.4946,44,1
LBX187LA,0.76756,44,1
LBX194LA,0.44504,44,1
LBXPCBLA,0.39048,44,1
LBXHXCLA,0.41816,44,1
LBX118LA,0.48012,44,1
LBXD03LA,0.35268,44,1
LBXD05LA,0.40468,44,1
LBXD07LA,0.42996,44,1
LBXF03LA,0.38804,44,1
LBXF04LA,0.51464,44,1
LBXF05LA,0.52156,44,1
LBXF08LA,0.48104,44,1
LBX074LA,0.29084,45,1
LBX099LA,0.3426,45,1
LBX138LA,0.29048,45,1
LBX153LA,0.27976,45,1
LBX170LA,0.26636,45,1
LBX180LA,0.26144,45,1
LBX187LA,0.24692,45,1
LBX194LA,0.37832,45,1
LBXPCBLA,0.21652,45,1
LBXHXCLA,0.28956,45,1
LBX118LA,0.48528,45,1
LBXD03LA,0.31316,45,1
LBXD05LA,0.26648,45,1
LBXD07LA,0.24484,45,1
LBXF03LA,0.2712,45,1
LBXF04LA,0.88376,45,1
LBXF05LA,0.30652,45,1
LBXF08LA,0.20368,45,1
LBX074LA,0.45724,46,1
LBX099LA,0.38016,46,1
LBX138LA,0.33596,46,1
LBX153LA,0.36256,46,1
LBX170LA,0.34132,46,1
LBX180LA,0.31848,46,1
LBX187LA,0.32968,46,1
LBX194LA,0.42256,46,1
LBXPCBLA,0.41452,46,1
LBXHXCLA,0.32112,46,1
LBX118LA,0.41956,46,1
LBXD03LA,0.30316,46,1
LBXD05LA,0.42876,46,1
LBXD07LA,0.37276,46,1
LBXF03LA,0.39836,46,1
LBXF04LA,0.47148,46,1
LBXF05LA,0.33268,46,1
LBXF08LA,0.31828,46,1
LBX074LA,0.13728,47,1
LBX099LA,0.09188,47,1
LBX138LA,0.14228,47,1
LBX153LA,0.10988,47,1
LBX170LA,0.10568,47,1
LBX180LA,0.10468,47,1
LBX187LA,0.09912,47,1
LBX194LA,0.12476,47,1
LBXPCBLA,0.22348,47,1
LBXHXCLA,0.09004,47,1
LBX118LA,0.10052,47,1
LBXD03LA,0.08316,47,1
LBXD05LA,0.09204,47,1
LBXD07LA,0.06688,47,1
LBXF03LA,0.09592,47,1
LBXF04LA,0.90296,47,1
LBXF05LA,0.51864,47,1
LBXF08LA,0.1034,47,1
LBX074LA,0.2666,48,1
LBX099LA,0.23896,48,1
LBX138LA,0.23336,48,1
LBX153LA,0.23128,48,1
LBX170LA,0.2108,48,1
LBX180LA,0.39424,48,1
LBX187LA,0.21136,48,1
LBX194LA,0.63332,48,1
LBXPCBLA,0.22732,48,1
LBXHXCLA,0.19992,48,1
LBX118LA,0.1966,48,1
LBXD03LA,0.17944,48,1
LBXD05LA,0.33996,48,1
LBXD07LA,0.1708,48,1
LBXF03LA,0.18392,48,1
LBXF04LA,0.39664,48,1
LBXF05LA,0.60224,48,1
LBXF08LA,0.1674,48,1
LBX074LA,0.18544,49,1
LBX099LA,0.107,49,1
LBX138LA,0.12712,49,1
LBX153LA,0.1242,49,1
LBX170LA,0.09908,49,1
LBX180LA,0.08732,49,1
LBX187LA,0.11736,49,1
LBX194LA,0.08852,49,1
LBXPCBLA,0.08908,49,1
LBXHXCLA,0.15872,49,1
LBX118LA,0.10132,49,1
LBXD03LA,0.10572,49,1
LBXD05LA,0.30944,49,1
LBXD07LA,0.10748,49,1
LBXF03LA,0.1264,49,1
LBXF04LA,0.94124,49,1
LBXF05LA,0.14132,49,1
LBXF08LA,0.3638,49,1
LBX074LA,0.39556,5,1
LBX099LA,0.46728,5,1
LBX138LA,0.3448,5,1
LBX153LA,0.38716,5,1
LBX170LA,0.50504,5,1
LBX180LA,0.3438,5,1
LBX187LA,0.49532,5,1
LBX194LA,0.68044,5,1
LBXPCBLA,0.38928,5,1
LBXHXCLA,0.3408,5,1
LBX118LA,0.31904,5,1
LBXD03LA,0.61428,5,1
LBXD05LA,0.45328,5,1
LBXD07LA,0.41604,5,1
LBXF03LA,0.35992,5,1
LBXF04LA,0.52144,5,1
LBXF05LA,0.40944,5,1
LBXF08LA,0.48916,5,1
LBX074LA,0.14584,50,1
LBX099LA,0.22772,50,1
LBX138LA,0.31772,50,1
LBX153LA,0.20712,50,1
LBX170LA,0.1528,50,1
LBX180LA,0.17764,50,1
LBX187LA,0.19228,50,1
LBX194LA,0.12724,50,1
LBXPCBLA,0.80336,50,1
LBXHXCLA,0.278,50,1
LBX118LA,0.17576,50,1
LBXD03LA,0.2244,50,1
