variable,fixedat1,fixedat2,est,sd,trial,case
Hg,Ni,Tl,0.10142548397510076,0.5502175539594466,1392,14
Ni,Tl,Hg,-0.2416579879028422,0.5815183515923152,1392,14
Tl,Hg,Ni,-0.1196464837547162,0.5484373934646941,1392,14
Hg,Ni,Tl,-0.0975789219375689,0.6364725997877182,1393,14
Ni,Tl,Hg,-0.08954916746805486,0.5418333222121745,1393,14
Tl,Hg,Ni,-0.14758912321914908,0.5760745300468703,1393,14
Hg,Ni,Tl,0.2186464218940376,0.55333676539423,1394,14
Ni,Tl,Hg,0.29916084242582297,0.5198250157429325,1394,14
Tl,Hg,Ni,0.05692424137597252,0.4426497599518767,1394,14
Hg,Ni,Tl,0.17222780916567615,0.5995743294149751,1395,14
Ni,Tl,Hg,-0.082044891523541,0.5361278236840187,1395,14
Tl,Hg,Ni,0.03697347032261522,0.5384803543615863,1395,14
Hg,Ni,Tl,1.0756802814675068,0.8507216379331956,1396,14
Ni,Tl,Hg,-0.7547233178496553,0.7845074203623953,1396,14
Tl,Hg,Ni,0.6446773371803936,0.9462639271330798,1396,14
Hg,Ni,Tl,-0.3662487112587707,0.5425302917410751,1397,14
Ni,Tl,Hg,0.05735923484985106,0.5696756135753565,1397,14
Tl,Hg,Ni,0.07280484297390899,0.5606127545811194,1397,14
Hg,Ni,Tl,0.054218985841653744,0.5058380272397404,1398,14
Ni,Tl,Hg,-0.036989778930025974,0.5610913853191243,1398,14
Tl,Hg,Ni,0.12823717987674987,0.4894780483806767,1398,14
Hg,Ni,Tl,0.0030268280985898954,0.5673347408564492,1399,14
Ni,Tl,Hg,0.050761327895295416,0.5278193753487458,1399,14
Tl,Hg,Ni,0.057336124417648904,0.5377157073762945,1399,14
Hg,Ni,Tl,0.013983583299074898,0.45786422114341924,1400,14
Ni,Tl,Hg,0.05972447613785503,0.39992899867716675,1400,14
Tl,Hg,Ni,0.08484460020577966,0.3491441059980157,1400,14
Hg,Ni,Tl,-0.10219572341570071,0.378672699668692,1401,15
Ni,Tl,Hg,-0.29568541446348373,0.40114967195857987,1401,15
Tl,Hg,Ni,0.011678865764245039,0.32827493626362536,1401,15
Hg,Ni,Tl,0.3771224699523188,0.45226913082080866,1402,15
Ni,Tl,Hg,-0.2627690883872962,0.4858828665135211,1402,15
Tl,Hg,Ni,-0.12217740744784411,0.5482758407947714,1402,15
Hg,Ni,Tl,-0.22137392700337788,0.5710173903015733,1403,15
Ni,Tl,Hg,-0.029565708337925045,0.5116132571163698,1403,15
Tl,Hg,Ni,-0.1779333187466552,0.521266665501839,1403,15
Hg,Ni,Tl,-0.24125844022697507,0.5829850016638919,1404,15
Ni,Tl,Hg,-0.27757004297538845,0.579570132496768,1404,15
Tl,Hg,Ni,0.018682321289240633,0.43487855835788103,1404,15
Hg,Ni,Tl,-0.28821315584239127,0.4981069722204396,1405,15
Ni,Tl,Hg,-0.19001413261208366,0.515720190301755,1405,15
Tl,Hg,Ni,-0.11791728666559909,0.41650584405755375,1405,15
Hg,Ni,Tl,0.036746802146572666,0.451658959316003,1406,15
Ni,Tl,Hg,-0.08284702003671729,0.4197157370057922,1406,15
Tl,Hg,Ni,0.040868387297370745,0.3667536157249646,1406,15
Hg,Ni,Tl,-0.21800160413236203,0.3389464821431045,1407,15
Ni,Tl,Hg,-0.225267148824293,0.3861438126146382,1407,15
Tl,Hg,Ni,-0.0809723680938017,0.3175613881082567,1407,15
Hg,Ni,Tl,-0.2001882401096884,0.4975625313448108,1408,15
Ni,Tl,Hg,-0.15473666399805186,0.3963439345432504,1408,15
Tl,Hg,Ni,-0.15974065201718446,0.4680072593654392,1408,15
Hg,Ni,Tl,-0.21930700789119673,0.4544537287046959,1409,15
Ni,Tl,Hg,-0.03973701825391629,0.3904914186896091,1409,15
Tl,Hg,Ni,-0.17859588339345134,0.47197854544533246,1409,15
Hg,Ni,Tl,-0.34784062617562483,0.6107974914094852,1410,15
Ni,Tl,Hg,0.1329651037887043,0.5959951127699555,1410,15
Tl,Hg,Ni,-0.27023970292933086,0.5061064927598242,1410,15
Hg,Ni,Tl,0.04200953633070981,0.4042850553646188,1411,15
Ni,Tl,Hg,0.16437129058819355,0.45418339961866366,1411,15
Tl,Hg,Ni,-0.0498405565687845,0.4052688321804393,1411,15
Hg,Ni,Tl,0.31802424400584695,0.5911542410074833,1412,15
Ni,Tl,Hg,0.4375908539660074,0.5499304205190809,1412,15
Tl,Hg,Ni,0.01740738495085825,0.464973537491142,1412,15
Hg,Ni,Tl,0.3389129167702136,0.5413754245376624,1413,15
Ni,Tl,Hg,0.1669181297940141,0.6013814321625615,1413,15
Tl,Hg,Ni,-0.22517235723970153,0.517936180600862,1413,15
Hg,Ni,Tl,0.024957284969903792,0.5844656191955135,1414,15
Ni,Tl,Hg,0.2719588402831259,0.6442615881395021,1414,15
Tl,Hg,Ni,0.5391117372607863,0.5980860507456133,1414,15
Hg,Ni,Tl,0.34700608402445887,0.46095462313909163,1415,15
